!==================================================
C_ID    R_ID    V_0     V_1     V_*     V_3     V_4
!==================================================                                                                                                    
 1.0    2001.0  2.0     1.0     1.0     1.0     0.0
 2.0    2002.0  2.0     1.0     1.0     2.0     0.0
 3.0    2003.0  2.0     2.0     1.0     3.0     0.0
 4.0    2004.0  2.0     1.0     1.0     4.0     0.0
 5.0    2005.0  2.0     1.0     1.0     5.0     0.0
 6.0    2006.0  2.0     7.0     1.0     6.0     0.0
 7.0    2007.0  2.0     4.0     1.0     7.0     2.0
 8.0    2008.0  2.0     1.0     1.0     0.0     2.0
 9.0    2009.0  2.0     1.0     1.0     0.0     2.0
10.0    2010.0  2.0     3.0     1.0     0.0     2.0
11.0    2011.0  2.0     1.0     1.0     1.0     2.0
12.0    2012.0  2.0     0.0     1.0     1.0     2.0
13.0    2013.0  2.0     10.0    1.0     1.0     4.0
14.0    2014.0  2.0     1.0     1.0     1.0     4.0
15.0    2015.0  2.0     0.0     1.0     1.0     4.0
16.0    2016.0  2.0     1.0     1.0     1.0     4.0
17.0    2017.0  2.0     0.0     1.0     1.0     4.0
18.0    2018.0  2.0     1.0     1.0     1.0     4.0
