Candidate TFC assembly gap waveforms proposed by SCOD for structural analysis within the Magnets section.	c*: continuous target sampled at distribution mode and 3-sigma.	a*: adaptive target sampled at distribution mode and 3-sigma.	k*: unit amplitude Fourier modes.	Created on /30/07/2021	@author: Simon McIntosh	@email: mcintos@iter.org

	rid	c1	c2	a1	a2	k0	k1	k2	k3	k4	k5	k6	k7	k8	k9
0	2001	0.741	1.456	1.375	2.283	2.000	2.060	2.234	2.500	2.826	3.174	3.500	3.766	3.940	4.000
1	2002	1.663	2.357	1.690	2.703	2.000	1.940	1.766	1.500	1.174	0.826	0.500	0.234	0.060	0.000
2	2003	1.941	2.366	2.786	1.363	2.000	1.826	1.408	1.000	0.887	1.234	2.000	2.940	3.706	4.000
3	2004	2.396	2.657	1.859	3.535	2.000	1.734	1.326	1.500	2.440	3.440	3.500	2.326	0.734	0.000
4	2005	2.205	1.263	2.485	0.724	2.000	1.674	1.560	2.500	3.266	2.266	0.500	0.560	2.674	4.000
5	2006	2.253	2.543	2.520	2.270	2.000	1.653	2.000	3.000	2.000	0.468	2.000	3.879	2.000	0.000
6	2007	2.940	3.698	1.933	1.882	2.000	1.674	2.440	2.500	0.734	2.266	3.500	0.560	1.326	4.000
7	2008	2.401	1.812	1.191	1.477	2.000	1.734	2.674	1.500	1.560	3.440	0.500	2.326	3.266	0.000
8	2009	0.976	3.063	2.193	1.153	2.000	1.826	2.592	1.000	3.113	1.234	2.000	2.940	0.294	4.000
9	2010	1.718	2.634	1.896	1.982	2.000	1.940	2.234	1.500	2.826	0.826	3.500	0.234	3.940	0.000
10	2011	2.236	1.994	2.079	2.591	2.000	2.060	1.766	2.500	1.174	3.174	0.500	3.766	0.060	4.000
11	2012	2.887	2.357	2.321	0.708	2.000	2.174	1.408	3.000	0.887	2.766	2.000	1.060	3.706	0.000
12	2013	1.337	2.279	2.757	2.565	2.000	2.266	1.326	2.500	2.440	0.560	3.500	1.674	0.734	4.000
13	2014	1.483	2.080	1.223	1.779	2.000	2.326	1.560	1.500	3.266	1.734	0.500	3.440	2.674	0.000
14	2015	1.687	1.479	1.611	2.249	2.000	2.347	2.000	1.000	2.000	3.532	2.000	0.121	2.000	4.000
15	2016	1.142	0.652	2.357	2.147	2.000	2.326	2.440	1.500	0.734	1.734	3.500	3.440	1.326	0.000
16	2017	2.007	1.309	1.896	2.832	2.000	2.266	2.674	2.500	1.560	0.560	0.500	1.674	3.266	4.000
17	2018	3.986	0.000	1.827	1.757	2.000	2.174	2.592	3.000	3.113	2.766	2.000	1.060	0.294	0.000
