Candidate TFC assembly gap waveforms proposed and analyized by SCOD.	cs*: ssat constant target & in-pit adaptive target sampled at distribution mode and 3-sigma.	kp*: unit amplitude Fourier modes phase shifted by pi/18.	Created on 13/08/2021	@author: Simon McIntosh	 @email: mcintos@iter.org

             rid       cs1       cs2       kp1       kp2       kp3       kp4       kp5       kp6       kp7       kp8       kp9
     0.0  2001.0     2.323     2.349     2.000     2.119     2.342     2.643     2.985     3.327     3.628     3.851     3.970
     1.0  2002.0     2.245     0.329     1.881     1.658     1.357     1.015     0.673     0.372     0.149     0.030     0.030
     2.0  2003.0     1.810     3.362     1.777     1.357     1.015     1.015     1.476     2.301     3.208     3.851     3.970
     3.0  2004.0     1.957     0.617     1.699     1.357     1.658     2.643     3.509     3.327     2.000     0.491     0.030
     4.0  2005.0     1.505     3.139     1.658     1.658     2.643     3.208     2.000     0.372     0.792     2.985     3.970
     5.0  2006.0     1.808     2.349     1.658     2.119     2.985     1.777     0.491     2.301     3.851     1.658     0.030
     6.0  2007.0     2.621     1.471     1.699     2.524     2.342     0.714     2.524     3.327     0.372     1.658     3.970
     7.0  2008.0     2.467     2.513     1.777     2.684     1.357     1.777     3.327     0.372     2.643     2.985     0.030
     8.0  2009.0     1.560     2.241     1.881     2.524     1.015     3.208     1.015     2.301     2.643     0.491     3.970
     9.0  2010.0     0.942     1.673     2.000     2.119     1.658     2.643     1.015     3.327     0.372     3.851     0.030
    10.0  2011.0     2.417     2.200     2.119     1.658     2.643     1.015     3.327     0.372     3.851     0.030     3.970
    11.0  2012.0     2.530     3.138     2.223     1.357     2.985     1.015     2.524     2.301     0.792     3.851     0.030
    12.0  2013.0     1.553     1.104     2.301     1.357     2.342     2.643     0.491     3.327     2.000     0.491     3.970
    13.0  2014.0     2.105     2.827     2.342     1.658     1.357     3.208     2.000     0.372     3.208     2.985     0.030
    14.0  2015.0     2.022     1.049     2.342     2.119     1.015     1.777     3.509     2.301     0.149     1.658     3.970
    15.0  2016.0     2.129     3.102     2.301     2.524     1.658     0.714     1.476     3.327     3.628     1.658     0.030
    16.0  2017.0     2.505     1.657     2.223     2.684     2.643     1.777     0.673     0.372     1.357     2.985     3.970
    17.0  2018.0     1.500     0.881     2.119     2.524     2.985     3.208     2.985     2.301     1.357     0.491     0.030
