coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
12,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
12,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
12,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
12,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
12,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
12,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
12,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
12,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
12,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
12,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
12,Nominal,fiducial,CCL,CCL,F,F',x,3399.7,,mm,false
12,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,F,F',z,-5598.0,,mm,false
12,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
12,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
12,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
12,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
13,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
13,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
13,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
13,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
13,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
13,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
13,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
13,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
13,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
13,Nominal,fiducial,CCL,CCL,F,F',x,3399.7,,mm,false
13,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,F,F',z,-5598.0,,mm,false
13,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
13,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
13,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
13,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
12,FAT supplier,fiducial,CCL,CCL,A,A,x,2713.36,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,A,A,y,-0.09,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,A,A,z,-3700.0,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,B,B,x,2713.73,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,B,B,y,0.18,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,B,B,z,3698.86,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,C,C,x,5333.9,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,C,C,y,1.46,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,C,C,z,6296.01,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,D,D,x,8978.52,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,D,D,y,0.95,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,D,D,z,4434.35,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,E,E,x,9583.77,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,E,E,y,-0.29,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,E,E,z,-3695.62,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,F,F',x,3398.2,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,F,F',y,0.44,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,F,F',z,-5598.6,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,G,G,x,10728.88,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,G,G,y,-0.97,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,G,G,z,-2.12,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,H,H,x,2713.71,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,H,H,y,0.02,0.6,mm,false
12,FAT supplier,fiducial,CCL,CCL,H,H,z,-0.29,0.6,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,x,3133.637,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,y,-1.08399,0.22,mm,false
12,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,z,-3700.78,0.22,mm,false
