coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
8,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',x,3399.7,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,F,F',z,-5598.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
8,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
9,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
9,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
9,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
9,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
9,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
9,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
9,Nominal,fiducial,CCL,CCL,F,F',x,3399.7,,mm,false
9,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,F,F',z,-5598.0,,mm,false
9,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
9,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
9,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
9,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
8,FAT supplier,fiducial,CCL,CCL,A,A,x,2713.01,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,A,A,y,-0.62,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,A,A,z,-3700.52,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,B,B,x,2712.98,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,B,B,y,-0.72,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,B,B,z,3698.92,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,C,C,x,5333.21,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,C,C,y,1.11,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,C,C,z,6296.32,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,D,D,x,8977.84,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,D,D,y,0.25,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,D,D,z,4436.7,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,E,E,x,9584.43,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,E,E,y,-1.97,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,E,E,z,-3695.07,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,F,F',x,3398.22,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,F,F',y,-0.9,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,F,F',z,-5597.79,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,G,G,x,10729.83,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,G,G,y,0.04,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,G,G,z,-0.22,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,H,H,x,2714.04,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,H,H,y,0.48,0.6,mm,false
8,FAT supplier,fiducial,CCL,CCL,H,H,z,-2.31,0.6,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A1-AU,A1-AU,x,2143.87,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A1-AU,A1-AU,y,-1.06,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A1-AU,A1-AU,z,-3699.91,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,x,2705.03,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,y,518.67,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A2-AU,A2-AU,z,-3699.83,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,x,3133.88,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,y,-1.03,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,A3-AP,A3-AP,z,-3700.77,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,x,2143.98,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,y,-0.1,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B1-AU,B1-AU,z,3700.03,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,x,2705.77,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,y,518.84,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B2-AU,B2-AU,z,3699.93,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,x,3134.61,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,y,-0.47,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,B3-AP,B3-AP,z,3700.33,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,x,8449.77,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,y,-2.27,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,z,4302.51,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,x,8785.11,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,y,-564.91,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,D4-BU,D4-BU,z,4633.91,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,x,8740.18,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,y,-0.69,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E3-BP,E3-BP,z,-3999.44,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,x,9105.45,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,y,-656.01,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,E4-BU,E4-BU,z,4312.45,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,x,11234.88,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,y,-1.82,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G1-BU,G1-BU,z,0.14,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,x,10728.61,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,y,560.94,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,G2-BU,G2-BU,z,-0.28,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,x,9468.45,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,y,1219.97,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-IOIS,P1-IOIS,z,3928.96,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,x,7718.72,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,y,-0.66,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,z,7005.81,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,x,7748.0,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,y,0.0,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,z,-7400.93,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,x,3130.33,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,y,-0.39,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,z,-8187.04,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,x,5784.71,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,y,224.21,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,z,6935.0,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,x,10289.03,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,y,-1752.09,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-IOIS,P11-IOIS,z,-2154.72,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-SCC,P11-SCC,x,11191.26,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-SCC,P11-SCC,y,374.88,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P11-SCC,P11-SCC,z,-2348.44,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,x,10046.43,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,y,-1322.29,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-IOIS,P12-IOIS,z,-3030.44,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,x,10641.22,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,y,706.82,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P12-SCC,P12-SCC,z,-2955.96,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,x,7541.53,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,y,1367.31,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,z,6355.24,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF2,P2-PF2,x,9002.58,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF2,P2-PF2,y,299.4,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF2,P2-PF2,z,7005.85,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,x,9205.72,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,y,314.98,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF5,P2-PF5,z,-7401.02,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,x,9002.7,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,y,-300.59,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF2,P3-PF2,z,7005.87,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,x,9205.51,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,y,-315.95,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P3-PF5,P3-PF5,z,-7400.94,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,x,10046.47,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,y,1321.49,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P6-IOIS,P6-IOIS,z,-3030.16,0.4,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,x,9469.14,0.56,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,y,-1220.25,0.56,mm,false
8,FAT supplier,fiducial,Fiducial,Fiducial,P7-IOIS,P7-IOIS,z,3927.88,0.56,mm,false
9,FAT supplier,fiducial,CCL,CCL,A,A,x,2713.2,0.32,mm,false
9,FAT supplier,fiducial,CCL,CCL,A,A,y,0.78,0.34,mm,false
9,FAT supplier,fiducial,CCL,CCL,A,A,z,-3700.16,0.04,mm,false
9,FAT supplier,fiducial,CCL,CCL,B,B,x,2712.91,0.22,mm,false
9,FAT supplier,fiducial,CCL,CCL,B,B,y,0.47,0.27,mm,false
9,FAT supplier,fiducial,CCL,CCL,B,B,z,3700.07,0.02,mm,false
9,FAT supplier,fiducial,CCL,CCL,C,C,x,5333.35,0.07,mm,false
9,FAT supplier,fiducial,CCL,CCL,C,C,y,0.12,0.25,mm,false
