coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
4,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
4,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
4,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
4,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
4,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
4,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
4,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
4,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
4,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
4,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
4,Nominal,fiducial,CCL,CCL,F,F',x,4284.5,,mm,false
4,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,F,F',z,-6133.3,,mm,false
4,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
4,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
4,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
4,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,A,A,x,2713.7,,mm,false
11,Nominal,fiducial,CCL,CCL,A,A,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,A,A,z,-3700.0,,mm,false
11,Nominal,fiducial,CCL,CCL,B,B,x,2713.7,,mm,false
11,Nominal,fiducial,CCL,CCL,B,B,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,B,B,z,3700.0,,mm,false
11,Nominal,fiducial,CCL,CCL,C,C,x,5334.4,,mm,false
11,Nominal,fiducial,CCL,CCL,C,C,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,C,C,z,6296.4,,mm,false
11,Nominal,fiducial,CCL,CCL,D,D,x,8980.4,,mm,false
11,Nominal,fiducial,CCL,CCL,D,D,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,D,D,z,4437.0,,mm,false
11,Nominal,fiducial,CCL,CCL,E,E,x,9587.6,,mm,false
11,Nominal,fiducial,CCL,CCL,E,E,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,E,E,z,-3695.0,,mm,false
11,Nominal,fiducial,CCL,CCL,F,F',x,4284.5,,mm,false
11,Nominal,fiducial,CCL,CCL,F,F',y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,F,F',z,-6133.3,,mm,false
11,Nominal,fiducial,CCL,CCL,G,G,x,10733.0,,mm,false
11,Nominal,fiducial,CCL,CCL,G,G,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,G,G,z,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,H,H,x,2713.7,,mm,false
11,Nominal,fiducial,CCL,CCL,H,H,y,0.0,,mm,false
11,Nominal,fiducial,CCL,CCL,H,H,z,0.0,,mm,false
4,FAT supplier,fiducial,CCL,CCL,A,A,x,2712.82,0.32,mm,false
4,FAT supplier,fiducial,CCL,CCL,A,A,y,-0.36,0.34,mm,false
4,FAT supplier,fiducial,CCL,CCL,A,A,z,-3700.15,0.04,mm,false
4,FAT supplier,fiducial,CCL,CCL,B,B,x,2712.48,0.22,mm,false
4,FAT supplier,fiducial,CCL,CCL,B,B,y,0.88,0.27,mm,false
4,FAT supplier,fiducial,CCL,CCL,B,B,z,3700.09,0.02,mm,false
4,FAT supplier,fiducial,CCL,CCL,C,C,x,5332.85,0.07,mm,false
4,FAT supplier,fiducial,CCL,CCL,C,C,y,-0.48,0.25,mm,false
4,FAT supplier,fiducial,CCL,CCL,C,C,z,6298.75,0.18,mm,false
4,FAT supplier,fiducial,CCL,CCL,D,D,x,8977.0,0.67,mm,false
4,FAT supplier,fiducial,CCL,CCL,D,D,y,-1.39,0.63,mm,false
4,FAT supplier,fiducial,CCL,CCL,D,D,z,4437.08,0.16,mm,false
4,FAT supplier,fiducial,CCL,CCL,E,E,x,9583.65,0.43,mm,false
4,FAT supplier,fiducial,CCL,CCL,E,E,y,0.39,0.43,mm,false
4,FAT supplier,fiducial,CCL,CCL,E,E,z,-3694.08,0.12,mm,false
4,FAT supplier,fiducial,CCL,CCL,F,F',x,4284.2,0.23,mm,false
4,FAT supplier,fiducial,CCL,CCL,F,F',y,1.08,0.32,mm,false
4,FAT supplier,fiducial,CCL,CCL,F,F',z,-6133.7,0.17,mm,false
4,FAT supplier,fiducial,CCL,CCL,G,G,x,10727.7,0.22,mm,false
4,FAT supplier,fiducial,CCL,CCL,G,G,y,-0.59,0.28,mm,false
4,FAT supplier,fiducial,CCL,CCL,G,G,z,0.3,0.02,mm,false
4,FAT supplier,fiducial,CCL,CCL,H,H,x,2713.79,0.19,mm,false
4,FAT supplier,fiducial,CCL,CCL,H,H,y,-0.11,0.25,mm,false
4,FAT supplier,fiducial,CCL,CCL,H,H,z,0.32,0.01,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,x,9142.89,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,y,3.3,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D1-BU,D1-BU,z,4989.44,0.1147129314520561,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,x,8442.43,0.1692759689602167,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,y,-1.92,0.1692759689602167,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,D3-BP,D3-BP,z,4295.33,0.1692759689602167,mm,false
