!===============================================================================================================================================================================================
C_ID    R_ID    V_0     V_1     V_2     V_3     V_4     V_5     V_6     V_7     V_8     V_9     V_10    V_11    V_12    V_13    V_14    V_15    V_16    V_17    V_18
!===============================================================================================================================================================================================                                                                                                    
 1.0    2001.0  2.0     0.0     0.7     0.5     1.0     0.7     0.5     0.0     0.0     0.0     2.0     2.0     3.0     3.0     2.0     0.0     0.0     0.0     0.0
 2.0    2002.0  2.0     4.0     0.7     0.5     2.0     1.3     1.0     0.0     0.0     0.0     2.0     0.0     0.0     3.0     0.0     0.0     4.0     1.0     2.0
 3.0    2003.0  2.0     0.0     1.3     1.0     3.0     2.0     1.5     0.0     0.0     0.0     2.0     2.0     3.0     3.0     2.0     0.0     0.0     0.0     0.0
 4.0    2004.0  2.0     4.0     0.7     0.5     4.0     2.7     2.0     0.0     0.0     0.0     2.0     0.0     0.0     3.0     0.0     0.0     4.0     2.0     2.0
 5.0    2005.0  2.0     0.0     0.7     0.5     5.0     3.3     2.5     0.0     0.0     0.0     2.0     2.0     3.0     3.0     2.0     0.0     0.0     0.0     0.0
 6.0    2006.0  2.0     4.0     4.7     3.5     6.0     4.0     3.0     0.0     0.0     0.0     2.0     0.0     0.0     3.0     0.0     0.0     4.0     3.0     4.0
 7.0    2007.0  2.0     0.0     2.7     2.0     7.0     4.7     3.5     2.0     1.3     1.0     2.0     2.0     3.0     3.0     2.0     0.0     0.0     0.0     0.0
 8.0    2008.0  2.0     4.0     0.7     0.5     0.0     0.0     0.0     2.0     1.3     1.0     2.0     0.0     0.0     1.0     0.0     0.0     4.0     4.0     6.0
 9.0    2009.0  2.0     0.0     0.7     0.5     0.0     0.0     0.0     2.0     1.3     1.0     2.0     2.0     3.0     1.0     4.0     0.0     0.0     0.0     0.0
10.0    2010.0  2.0     4.0     2.0     1.5     0.0     0.0     0.0     2.0     1.3     1.0     2.0     0.0     0.0     1.0     0.0     0.0     4.0     5.0     8.0
11.0    2011.0  2.0     0.0     0.7     0.5     1.0     0.7     0.5     2.0     1.3     1.0     2.0     2.0     3.0     1.0     4.0     0.0     0.0     0.0     0.0
12.0    2012.0  2.0     4.0     0.0     0.0     1.0     0.7     0.5     2.0     1.3     1.0     2.0     0.0     0.0     1.0     0.0     0.0     4.0     6.0     8.0
13.0    2013.0  2.0     0.0     6.7     5.0     1.0     0.7     0.5     4.0     2.7     2.0     2.0     2.0     3.0     1.0     2.0     0.0     0.0     0.0     0.0
14.0    2014.0  2.0     4.0     0.7     0.5     1.0     0.7     0.5     4.0     2.7     2.0     2.0     0.0     0.0     0.0     0.0     0.0     4.0     7.0     2.0
15.0    2015.0  2.0     0.0     0.0     0.0     1.0     0.7     0.5     4.0     2.7     2.0     2.0     2.0     3.0     0.0     2.0     0.0     0.0     0.0     0.0
16.0    2016.0  2.0     4.0     0.7     0.5     1.0     0.7     0.5     4.0     2.7     2.0     2.0     0.0     0.0     0.0     0.0     0.0     4.0     6.0     2.0
17.0    2017.0  2.0     0.0     0.0     0.0     1.0     0.7     0.5     4.0     2.7     2.0     2.0     2.0     3.0     0.0     2.0     0.0     0.0     0.0     0.0
18.0    2018.0  2.0     4.0     0.7     0.5     1.0     0.7     0.5     4.0     2.7     2.0     2.0     0.0     0.0     0.0     0.0     0.0     4.0     2.0     2.0
