requested_cells,realised_cells,cell,radius_m,height_m,negative_curvature_coordinate_pitch,positive_curvature_coordinate_pitch,flux_minus_xpoint_wb,flux_minus_xpoint_fraction_of_span,first_eigenvector_side,second_eigenvector_side,oracle_private,baseline_wedge_private,analytic_branch_heights_m,eigenvector_line_heights_m,separatrix_tangent_line_heights_m,nearest_eigenvector_line_to_analytic_branch_pitch,nearest_tangent_line_to_analytic_branch_pitch
500,550,1,1.4416099453243207,-1.1763627769450886,0.609050709596061,2.1368663347659695,0.0005398943704670403,0.09457674278022822,private,outside,True,False,"[-1.0922185455485571, -0.915384701911513, 0.9128225576633697]","[-1.012687867746577, -1.7407901292785235]","[-1.0881586431610892, -0.9174796506246041]",1.0418573884143043,0.027443973261707635
500,550,2,1.50157426955981,-1.1533557437843989,-0.14899070245973736,1.7717917353077794,0.000472707816542355,0.08280724530736502,private,private,False,True,"[-1.020663721543764, -1.01884858298796, -1.0184931285373733, -1.0184931285373733, -1.0184367453625673, -1.0184367453625673, 0.924133014011842]","[-1.017644002400755, -1.0152811526433396]","[-1.0173990833656117, -1.0179529737151103]",0.010384987714226983,0.006337442093269103
500,550,5,1.50157426955981,-1.0770202695761435,-0.06662018207002997,0.7751899605899465,8.228449272201834e-05,0.014414299775416866,private,private,False,True,"[-1.020663721543764, -1.01884858298796, -1.0184931285373733, -1.0184931285373733, -1.0184367453625673, -1.0184367453625673, 0.924133014011842]","[-1.017644002400755, -1.0152811526433396]","[-1.0173990833656117, -1.0179529737151103]",0.010384987714226983,0.006337442093269103
750,814,31,1.4852845665825347,-1.188645050707801,0.042606035413047014,2.918269563881856,0.0007948247615722376,0.13916563302670046,private,outside,True,False,"[-1.0374195809805882, -0.9884154361191156, 0.9225036770582916]","[-1.0151959226558391, -1.218681801011978]","[-1.0366930089359054, -0.9879399753026654]",0.37523798647708506,0.008027974368866545
750,814,32,1.4313317108194485,-1.1652546774258308,0.983537487952144,2.6012583129894424,0.000381385212648881,0.06677662437229002,private,outside,True,False,"[-1.1056037270223198, -0.8981146811698361, 0.9092813478533633]","[-1.010647306054088, -1.8586369565798657]","[-1.1002324253224196, -0.8970632015575828]",1.603302916491907,0.017753831829039272
750,814,34,1.48399032335166,-1.1372253074190959,0.13731861962767894,2.054971781969174,0.00036153148322999064,0.06330044074527856,private,outside,True,False,"[-1.0387523190466466, -0.986426974621046, 0.9223469730901098]","[-1.0150868085753444, -1.2340333077384074]","[-1.038217218514599, -0.9857599859842172]",0.39958310951507464,0.009034968198045253
750,814,37,1.48399032335166,-1.0748976537245587,0.22572812443860035,1.0063133262723192,7.117728159670742e-05,0.012462409237140065,private,outside,True,False,"[-1.0387523190466466, -0.986426974621046, 0.9223469730901098]","[-1.0150868085753444, -1.2340333077384074]","[-1.038217218514599, -0.9857599859842172]",0.39958310951507464,0.009034968198045253
750,814,47,1.393673032702934,-1.1704835553922726,1.609725165684988,2.742651284729104,0.00010894140247364717,0.01907451802089304,private,outside,True,False,"[-1.156318773039066, -0.8347859795113018, 0.8919587716110564]","[-1.0074724066709495, -2.305320730249986]","[-1.1445824489785918, -0.8336319128458022]",2.5132140709796156,0.01948597505839795
1000,1074,0,1.4276374213835674,-1.1860322414322462,1.1433042177045614,3.259531031818358,0.0005435175763633313,0.09520569935715573,private,outside,True,False,"[-1.1103823025795718, -0.891938968252732, 0.9079014645118769]","[-1.0125225684500914, -1.9123691936392166]","[-1.106894478400053, -0.8931020795285377]",1.8448228678148746,0.021926630993914516
1000,1074,2,1.4664458524385202,-1.1785011501461902,0.4261083367008883,3.056965757889857,0.0006610234946381048,0.11578871932646054,private,outside,True,False,"[-1.060574262022473, -0.9569437998978311, 0.9193253446891356]","[-1.0157743272408661, -1.4492062046685041]","[-1.0612307338784384, -0.9582526949230068]",0.8445551676276767,0.01237561396150377
1000,1074,4,1.4194284522132579,-1.1530211012672509,1.3494786870669369,2.6523093592604328,0.0002002923394568014,0.03508437092587851,private,outside,True,False,"[-1.1212586272385794, -0.878143951612153, 0.9045943015477136]","[-1.0118347388487103, -2.010339933345371]","[-1.1165535205408712, -0.8793210690970007]",2.062826895889143,0.022190671919040266
1000,1074,5,1.4661709478281382,-1.1260379969196594,0.5138532645435004,2.0718322368216793,0.00025806779235152885,0.04520465523264013,private,outside,True,False,"[-1.0609456491363969, -0.9564625036315926, 0.919264191116386]","[-1.015751292981064, -1.452487080436094]","[-1.0615541990007082, -0.9577911919955681]",0.851990683126239,0.01147220269781039
1000,1074,8,1.4661709478281382,-1.0720606654619111,0.5988172891997809,1.0578208340143491,2.642724069914327e-05,0.004629149161424559,private,outside,True,False,"[-1.0609456491363969, -0.9564625036315926, 0.919264191116386]","[-1.015751292981064, -1.452487080436094]","[-1.0615541990007082, -0.9577911919955681]",0.851990683126239,0.01147220269781039
2500,2616,1447,1.4633828329159173,-1.1559848790229121,1.4107874100573214,7.24283190306751,0.0004571131498087642,0.08005830623343187,private,outside,True,False,"[-1.0647123009546362, -0.9515811402552896, 0.918643964384351]","[-1.0143548743984445, -1.4829351724295878]","[-1.0638566630869801, -0.9515923636653618]",2.58438481670791,0.0005759946956368416
2500,2616,1451,1.4396865224411037,-1.1932009192178876,2.462008697364853,9.248276304104179,0.0006954874641048217,0.12180692768543327,private,outside,True,False,"[-1.094702816007418, -0.9120248240625044, 0.9121781302783768]","[-1.0123554387140692, -1.7637719777875982]","[-1.0917366309890726, -0.9117093193685142]",4.226135569798717,0.016191962070153606
2500,2616,1452,1.4105951937232426,-1.1789103614822418,4.011376878431039,8.642998755859852,0.00034216465454268107,0.059926350198182765,private,outside,True,False,"[-1.1331074244509696, -0.863352429793301, 0.9006513473076608]","[-1.0099007848215906, -2.108547837701636]","[-1.125964124410264, -0.8627459690131152]",6.323066736153927,0.031124069266964028
2500,2616,1453,1.4636112145132465,-1.188404296552374,1.2592187005492697,8.899746487323217,0.0007522265390358277,0.13174414834541312,private,outside,True,False,"[-1.064403764905759, -0.9519809851684737, 0.918694768736477]","[-1.0143741446690564, -1.48022850810458]","[-1.063587960007244, -0.9519767506513674]",2.5675615250338746,0.00021731892322545145
2500,2616,1454,1.4338326469678215,-1.1730282102853524,2.8484157065726503,8.24192140881682,0.0004638177082196655,0.08123253539451468,private,outside,True,False,"[-1.1022704635115361, -0.9023812606038328, 0.9102154923456014]","[-1.0118615032752334, -1.8331491784546619]","[-1.098624026411724, -0.901856714885749]",4.639862679804106,0.026920120470656676
2500,2616,1455,1.4042616761103768,-1.1559712299680702,4.4342494452998995,7.497241132568376,9.78164904066389e-05,0.017131475099612423,private,outside,True,False,"[-1.1418079580470846, -0.8526282580108641, 0.8975508178564316]","[-1.0093663783731166, -2.183609516816891]","[-1.1334158442863063, -0.8520860832145527]",6.797011503919452,0.027824859358633987
2500,2616,1456,1.4338182308825755,-1.138915748080478,2.996347882642006,6.497502773288759,0.00019966756256355536,0.034969562514846626,private,outside,True,False,"[-1.1022919104291584, -0.9023552498276518, 0.9102101076792871]","[-1.01186028688185, -1.8333200306778616]","[-1.0986409877017256, -0.9018324513039959]",4.641025779685589,0.026830453006289712
2500,2616,1458,1.4633828329159173,-1.121846617138044,1.5580936857807262,5.497031689683335,0.0002270759358555883,0.03976983558354258,private,outside,True,False,"[-1.0647123009546362, -0.9515811402552896, 0.918643964384351]","[-1.0143548743984445, -1.4829351724295878]","[-1.0638566630869801, -0.9515923636653618]",2.58438481670791,0.0005759946956368416
2500,2616,1460,1.4929474349492593,-1.1047774861956097,0.1198394889194364,4.496560606077898,0.00018575162092464116,0.032532339438413924,private,outside,True,False,"[-1.0277882326680365, -1.0018606053541204, 0.923403045787955]","[-1.016849461915039, -1.1325503141813116]","[-1.0290723384722344, -1.0013522760267282]",0.5613867701509752,0.026087881876446173
2500,2616,1464,1.4929474349492593,-1.0706392243107414,0.2671457646428411,2.750760392693723,6.55303296059209e-05,0.01147691156415723,private,outside,True,False,"[-1.0277882326680365, -1.0018606053541204, 0.923403045787955]","[-1.016849461915039, -1.1325503141813116]","[-1.0290723384722344, -1.0013522760267282]",0.5613867701509752,0.026087881876446173
2500,2616,1466,1.4929474349492593,-1.0365009624258732,0.4144520403662458,1.0049601793095482,6.081884094365618e-06,0.0010651746498797083,private,outside,True,False,"[-1.0277882326680365, -1.0018606053541204, 0.923403045787955]","[-1.016849461915039, -1.1325503141813116]","[-1.0290723384722344, -1.0013522760267282]",0.5613867701509752,0.026087881876446173
2500,2616,1469,1.4338182308825755,-1.1047774861956097,3.1436541583654107,4.751702559904585,1.0977592825013043e-05,0.0019226038202105743,private,outside,True,False,"[-1.1022919104291584, -0.9023552498276518, 0.9102101076792871]","[-1.01186028688185, -1.8333200306778616]","[-1.0986409877017256, -0.9018324513039959]",4.641025779685589,0.026830453006289712
2500,2616,1471,1.4633828329159173,-1.0877083552531757,1.7053999615041309,3.7512314762991603,6.97284180828318e-05,0.012212160272316645,private,outside,True,False,"[-1.0647123009546362, -0.9515811402552896, 0.918643964384351]","[-1.0143548743984445, -1.4829351724295878]","[-1.0638566630869801, -0.9515923636653618]",2.58438481670791,0.0005759946956368416
