tree_sha	window_index	window_start_s	window_end_s	member_id	role	p_prime_scale	ff_prime_scale	current_scale	temperature_scale	density_scale	iterations	gating_norm	contraction	topology_class	net_current_a	mean_electron_temperature_ev	flux_closure_residual	current_continuity_residual
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	0.0	0.05	truth	truth	1.0	1.0	1.0	1.0	1.0	12	6.880767055823018e-11	0.10500011181457597	limited	1000000.0	6917.85584227226	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	0.0	0.05	pressure-high	counterfactual	1.08	1.0	1.0	1.025	1.0	12	6.846963934192765e-11	0.10499989809910307	limited	1000000.0	7092.7911587223025	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	0.0	0.05	field-high	counterfactual	1.0	1.06	1.0	1.0	0.98	12	7.092758402401788e-11	0.10500014900038461	limited	1000000.0	6917.818517482282	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	0	0.0	0.05	current-low	counterfactual	1.0	1.0	0.95	0.985	1.015	12	6.880767055823018e-11	0.10500011181457597	limited	950000.0	6812.85584227226	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	0.05	0.1	truth	truth	1.03	0.98	1.015	1.01	0.992	11	1.5153605999906498e-11	0.10499919046794891	limited	1014999.9999999999	6987.844036835652	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	0.05	0.1	pressure-high	counterfactual	1.11	0.98	1.015	1.035	0.992	11	1.4118903647641746e-11	0.10500055616516975	limited	1014999.9999999999	7162.779338560692	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	0.05	0.1	field-high	counterfactual	1.03	1.04	1.015	1.01	0.972	11	1.504128346467314e-11	0.10499932025342472	limited	1014999.9999999999	6987.806703546565	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	0.05	0.1	current-low	counterfactual	1.03	0.98	0.9649999999999999	0.995	1.007	11	1.5153605999906498e-11	0.10499919046794891	limited	964999.9999999999	6882.844036835652	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	0.1	0.15000000000000002	truth	truth	1.06	0.96	1.03	1.02	0.984	11	1.4764910460871003e-11	0.10500042639235609	limited	1030000.0	7057.832228710206	0.0	0.0
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	0.1	0.15000000000000002	pressure-high	counterfactual	1.1400000000000001	0.96	1.03	1.045	0.984	11	1.3780575147538513e-11	0.10499919046809308	limited	1030000.0	7232.767515710242	0.0	0.0
