revision=4d51fba1a tree=/home/ITER/mcintos/Code/.reckon-worktrees/nova-a0f1e0938fc2/s19-codex-20260916/fsapi-core-modules-importing-optional-extras-census
command=python benchmarks/optional_extra_import_census.py
skipped self-reference in extra 'test': ['nova-stella[jax,transport]']
core import names: 22
extra import names: 39
extra-only import names: 39
FINDING nova/biot/boundary.py:7 jax extras=gpu,jax
FINDING nova/biot/null.py:4 jax extras=gpu,jax
FINDING nova/biot/null.py:5 jax extras=gpu,jax
FINDING nova/biot/plasmavtk.py:7 pyvista extras=test,viz
FINDING nova/circuit/propagate.py:38 jax extras=gpu,jax
FINDING nova/circuit/propagate.py:39 jax extras=gpu,jax
FINDING nova/control/circuit.py:6 networkx extras=test
FINDING nova/database/zarrstore.py:18 pandas extras=interchange
FINDING nova/datachain/uda_benchmark.py:6 pandas extras=interchange
FINDING nova/dataset/access.py:9 jax extras=gpu,jax
FINDING nova/dataset/access.py:10 jax extras=gpu,jax
FINDING nova/dataset/access.py:16 matplotlib extras=matplotlib,test
FINDING nova/diagnostics/thomson.py:21 jax extras=gpu,jax
FINDING nova/diagnostics/thomson.py:22 jax extras=gpu,jax
FINDING nova/equilibrium/batched_labeller.py:14 jax extras=gpu,jax
FINDING nova/equilibrium/batched_labeller.py:15 jax extras=gpu,jax
FINDING nova/equilibrium/branch_selection.py:9 jax extras=gpu,jax
FINDING nova/equilibrium/branch_selection.py:10 jax extras=gpu,jax
FINDING nova/equilibrium/clip_quadrature.py:9 jax extras=gpu,jax
FINDING nova/equilibrium/clip_quadrature.py:10 jax extras=gpu,jax
FINDING nova/equilibrium/coefficient_carrier.py:17 jax extras=gpu,jax
FINDING nova/equilibrium/coefficient_carrier.py:18 jax extras=gpu,jax
FINDING nova/equilibrium/connectivity_boundary.py:71 jax extras=gpu,jax
FINDING nova/equilibrium/connectivity_boundary.py:72 jax extras=gpu,jax
FINDING nova/equilibrium/conservation.py:69 jax extras=gpu,jax
FINDING nova/equilibrium/conservation.py:70 jax extras=gpu,jax
FINDING nova/equilibrium/constraint.py:16 jax extras=gpu,jax
FINDING nova/equilibrium/constraint.py:17 jax extras=gpu,jax
FINDING nova/equilibrium/continuation.py:120 jax extras=gpu,jax
FINDING nova/equilibrium/continuation.py:121 jax extras=gpu,jax
FINDING nova/equilibrium/diagnostics.py:23 jax extras=gpu,jax
FINDING nova/equilibrium/domain.py:54 jax extras=gpu,jax
FINDING nova/equilibrium/domain.py:55 jax extras=gpu,jax
FINDING nova/equilibrium/extraction_lattice.py:23 jax extras=gpu,jax
FINDING nova/equilibrium/extraction_lattice.py:24 jax extras=gpu,jax
FINDING nova/equilibrium/fixed_point.py:48 jax extras=gpu,jax
FINDING nova/equilibrium/fixed_point.py:49 jax extras=gpu,jax
FINDING nova/equilibrium/flux_surface_connectivity.py:69 jax extras=gpu,jax
FINDING nova/equilibrium/flux_surface_connectivity.py:70 jax extras=gpu,jax
FINDING nova/equilibrium/flux_surface_extraction.py:24 jax extras=gpu,jax
FINDING nova/equilibrium/flux_surface_extraction.py:25 jax extras=gpu,jax
FINDING nova/equilibrium/forward.py:78 jax extras=gpu,jax
FINDING nova/equilibrium/forward.py:79 jax extras=gpu,jax
FINDING nova/equilibrium/forward_operator.py:38 jax extras=gpu,jax
FINDING nova/equilibrium/forward_operator.py:39 jax extras=gpu,jax
FINDING nova/equilibrium/manifold_advance.py:15 jax extras=gpu,jax
FINDING nova/equilibrium/manifold_advance.py:16 jax extras=gpu,jax
FINDING nova/equilibrium/map_extraction.py:25 jax extras=gpu,jax
FINDING nova/equilibrium/map_extraction.py:26 jax extras=gpu,jax
FINDING nova/equilibrium/moment.py:55 matplotlib extras=matplotlib,test
FINDING nova/equilibrium/morphology.py:3 jax extras=gpu,jax
FINDING nova/equilibrium/observation.py:64 jax extras=gpu,jax
FINDING nova/equilibrium/observation.py:65 jax extras=gpu,jax
FINDING nova/equilibrium/observation_kernels.py:20 jax extras=gpu,jax
FINDING nova/equilibrium/observation_kernels.py:21 jax extras=gpu,jax
FINDING nova/equilibrium/parallel_components.py:37 jax extras=gpu,jax
FINDING nova/equilibrium/parallel_components.py:38 jax extras=gpu,jax
FINDING nova/equilibrium/polygon_moments.py:41 jax extras=gpu,jax
FINDING nova/equilibrium/polygon_moments.py:42 jax extras=gpu,jax
FINDING nova/equilibrium/profile.py:23 jax extras=gpu,jax
FINDING nova/equilibrium/profile.py:24 jax extras=gpu,jax
FINDING nova/equilibrium/reduced_newton.py:87 jax extras=gpu,jax
FINDING nova/equilibrium/reduced_newton.py:88 jax extras=gpu,jax
FINDING nova/equilibrium/rotation.py:91 jax extras=gpu,jax
FINDING nova/equilibrium/rotation.py:92 jax extras=gpu,jax
FINDING nova/equilibrium/seed_alignment.py:7 jax extras=gpu,jax
FINDING nova/equilibrium/seed_alignment.py:8 jax extras=gpu,jax
FINDING nova/equilibrium/separatrix_branches.py:15 jax extras=gpu,jax
FINDING nova/equilibrium/separatrix_branches.py:16 jax extras=gpu,jax
FINDING nova/equilibrium/separatrix_clip.py:22 jax extras=gpu,jax
