outer_index,active_at_entry,active_after,outer_wall_s,inner_callback_delta_s,attempted_promotions,accepted_promotions,linear_actions,line_search_grades
1,True,True,0.200806971,0.003012994,12,12,156,72
2,True,True,0.196111423,0.00266333,12,12,156,72
3,True,True,3.8818090840000004,0.004806661,12,12,156,72
4,True,True,5.678762754,0.006825226,12,12,156,72
5,True,True,10.959186907000001,0.00580154,12,5,156,72
6,True,False,9.829879937000001,0.005660526,12,0,156,72
7,False,False,0.004870082,,0,0,0,0
8,False,False,0.002459663,,0,0,0,0
9,False,False,0.0026033880000000003,,0,0,0,0
10,False,False,0.002578218,,0,0,0,0
11,False,False,0.002351726,,0,0,0,0
12,False,False,0.002339145,,0,0,0,0
13,False,False,0.002455258,,0,0,0,0
14,False,False,0.0025324170000000003,,0,0,0,0
15,False,False,0.0023685100000000003,,0,0,0,0
16,False,False,0.0025755720000000004,,0,0,0,0
17,False,False,0.002462583,,0,0,0,0
18,False,False,0.0025762180000000003,,0,0,0,0
19,False,False,0.002604578,,0,0,0,0
20,False,False,0.002128885,,0,0,0,0
21,False,False,0.002456128,,0,0,0,0
22,False,False,0.00233021,,0,0,0,0
23,False,False,0.0023185320000000003,,0,0,0,0
