Fri Sep  4 23:42:45 2026    docs/figures/millisecond-converged-solve/trip-quantum/host-profile/production-solve.pstats

         4663 function calls (4552 primitive calls) in 41.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   41.131   41.131 traceback_util.py:191(reraise_with_filtered_traceback)
        1    0.000    0.000   41.131   41.131 pjit.py:257(cache_miss)
     10/9    0.000    0.000   41.128    4.570 profiler.py:417(wrapper)
        1    0.000    0.000   41.128   41.128 pjit.py:133(_run_python_pjit)
        1    0.000    0.000   41.128   41.128 pjit.py:1169(_pjit_call_impl_python)
        1   41.127   41.127   41.127   41.127 pxla.py:399(__call__)
        1    0.000    0.000    0.002    0.002 pjit.py:635(_infer_params)
        1    0.000    0.000    0.001    0.001 pjit.py:484(_trace_for_jit)
        1    0.000    0.000    0.001    0.001 pjit.py:190(_get_fastpath_data)
        2    0.000    0.000    0.001    0.000 forward_operator.py:148(tree_flatten)
        1    0.000    0.000    0.001    0.001 production_solve_host_profile.py:196(_solve_summary)
        1    0.000    0.000    0.001    0.001 pxla.py:1861(reflatten_outputs_for_dispatch)
     14/7    0.000    0.000    0.001    0.000 {built-in method numpy.asarray}
        7    0.000    0.000    0.001    0.000 array.py:409(__array__)
        7    0.001    0.000    0.001    0.000 array.py:634(_value)
      118    0.000    0.000    0.001    0.000 pjit.py:567(<genexpr>)
      235    0.000    0.000    0.001    0.000 core.py:1958(typeof)
        1    0.000    0.000    0.000    0.000 production_solve_host_profile.py:191(_ready)
        1    0.000    0.000    0.000    0.000 api.py:2666(block_until_ready)
      109    0.000    0.000    0.000    0.000 array.py:1120(_get_aval_array)
        2    0.000    0.000    0.000    0.000 forward_operator.py:125(class_determinate)
        2    0.000    0.000    0.000    0.000 array_methods.py:719(_operator_ge)
        1    0.000    0.000    0.000    0.000 tree_util.py:99(tree_leaves)
        2    0.000    0.000    0.000    0.000 tree_util.py:93(tree_unflatten)
        1    0.000    0.000    0.000    0.000 api_util.py:733(_check_no_aliased_closed_over_refs)
        2    0.000    0.000    0.000    0.000 array_methods.py:891(_operator_and)
      134    0.000    0.000    0.000    0.000 pjit.py:561(<genexpr>)
      134    0.000    0.000    0.000    0.000 linear_util.py:419(_clean_keystr_arg_names)
        2    0.000    0.000    0.000    0.000 ufunc_api.py:175(__call__)
        1    0.000    0.000    0.000    0.000 pjit.py:639(<lambda>)
        1    0.000    0.000    0.000    0.000 pjit.py:1114(_resolve_and_lower)
        1    0.000    0.000    0.000    0.000 api_util.py:595(debug_info)
        1    0.000    0.000    0.000    0.000 api_util.py:664(_non_static_arg_names)
      134    0.000    0.000    0.000    0.000 dtypes.py:499(issubdtype)
        1    0.000    0.000    0.000    0.000 flattree.py:322(flatten_static_argnums_argnames_and_return_various_trees)
