outer_index,active_at_entry,active_after,outer_wall_s,inner_callback_delta_s,attempted_promotions,accepted_promotions,linear_actions,line_search_grades
1,True,True,3.3684856040000004,0.0016398570000000002,12,12,156,72
2,True,True,3.375181769,0.001485741,12,12,156,72
3,True,True,3.824515324,0.001479595,12,12,156,72
4,True,True,5.610516447,0.001652917,12,12,156,72
5,True,True,12.18821216,0.001611908,12,5,156,72
6,True,False,12.236912064,0.0016946830000000002,12,0,156,72
7,False,False,0.0033491050000000002,,0,0,0,0
8,False,False,0.0013904140000000002,,0,0,0,0
9,False,False,0.001282872,,0,0,0,0
10,False,False,0.001546917,,0,0,0,0
11,False,False,0.001318292,,0,0,0,0
12,False,False,0.0013801360000000001,,0,0,0,0
13,False,False,0.001329696,,0,0,0,0
14,False,False,0.001334731,,0,0,0,0
15,False,False,0.00139419,,0,0,0,0
16,False,False,0.0012998340000000001,,0,0,0,0
17,False,False,0.0014175960000000001,,0,0,0,0
18,False,False,0.001234525,,0,0,0,0
19,False,False,0.0014972030000000001,,0,0,0,0
20,False,False,0.001339666,,0,0,0,0
21,False,False,0.001782556,,0,0,0,0
22,False,False,0.0013781020000000002,,0,0,0,0
23,False,False,0.0013621710000000001,,0,0,0,0
