outer_index,active_at_entry,active_after,outer_wall_s,inner_callback_delta_s,attempted_promotions,accepted_promotions,linear_actions,line_search_grades
1,True,True,0.20334009900000002,0.007862386,12,12,156,72
2,True,True,0.198114493,0.001928921,12,12,156,72
3,True,True,3.850397982,0.0055512090000000005,12,12,156,72
4,True,True,5.672600539,0.005151196,12,12,156,72
5,True,True,12.300403974,0.004929003,12,5,156,72
6,True,False,12.297384434000001,0.0046455870000000005,12,0,156,72
7,False,False,0.003596721,,0,0,0,0
8,False,False,0.0021713830000000003,,0,0,0,0
9,False,False,0.002119629,,0,0,0,0
10,False,False,0.002056675,,0,0,0,0
11,False,False,0.001959109,,0,0,0,0
12,False,False,0.002025678,,0,0,0,0
13,False,False,0.00212866,,0,0,0,0
14,False,False,0.0018394260000000001,,0,0,0,0
15,False,False,0.001939879,,0,0,0,0
16,False,False,0.0019524400000000002,,0,0,0,0
17,False,False,0.001758936,,0,0,0,0
18,False,False,0.0017255590000000002,,0,0,0,0
19,False,False,0.001976217,,0,0,0,0
20,False,False,0.002044756,,0,0,0,0
21,False,False,0.0024802730000000003,,0,0,0,0
22,False,False,0.00203402,,0,0,0,0
23,False,False,0.002548921,,0,0,0,0
