row,time_s,requested_class,plasma_current_a,target_centroid_z_m,selected_circuit,selected_index,selected_derivative_m_per_a,selected_authority_per_a,selected_direction_weight,best_drivable_circuit,best_drivable_index,best_drivable_derivative_m_per_a,best_all_circuit,best_all_index,best_all_derivative_m_per_a,second_drivable_abs_derivative_m_per_a,selection_matches_best_drivable,selection_direction_authority_per_a,selection_rule,response_singular_values
11,0.009999999776482582,limited,145723.046875,-0.01581486500799656,sol,0,-3.4073538963164877e-06,-8.518384740791219e-07,-1.0,sol,0,-3.4073538963164877e-06,sol,0,-3.4073538963164877e-06,2.9860853330291086e-07,True,8.832758699614681e-07,1,[8.674147619558279e-07]
12,0.014999999664723873,limited,151849.578125,-0.007612599991261959,sol,0,4.663260331808617e-07,1.1658150829521542e-07,1.0,sol,0,4.663260331808617e-07,sol,0,4.663260331808617e-07,6.238497492664405e-08,True,1.2554432702107982e-07,1,[1.209799446273028e-07]
13,0.019999999552965164,limited,163097.609375,-0.012401406653225422,sol,0,2.140745104420468e-06,5.35186276105117e-07,1.0,sol,0,2.140745104420468e-06,sol,0,2.140745104420468e-06,7.499192711049385e-08,True,5.381213757410463e-07,1,[5.366518193162238e-07]
14,0.02499999850988388,limited,186594.4375,-0.014504238031804562,sol,0,4.229894728561411e-06,1.0574736821403528e-06,1.0,sol,0,4.229894728561411e-06,sol,0,4.229894728561411e-06,2.4498457934869265e-07,True,1.0719677545830968e-06,1,[1.064696054550177e-06]
15,0.029999999329447746,limited,217828.4375,-0.018364788964390755,sol,0,-1.5651683365258137e-06,-3.912920841314534e-07,-1.0,sol,0,-1.5651683365258137e-06,sol,0,-1.5651683365258137e-06,3.409373943533001e-08,True,3.918737085291846e-07,1,[3.915827883432906e-07]
16,0.03500000014901161,limited,242862.765625,-0.02177450619637966,sol,0,-9.123857308037426e-07,-2.2809643270093566e-07,-1.0,sol,0,-9.123857308037426e-07,sol,0,-9.123857308037426e-07,8.097002728442046e-08,True,2.340766555718452e-07,1,[2.3106719826600981e-07]
17,0.03999999910593033,limited,258129.953125,-0.024656400084495544,sol,0,-3.0742302269479932e-06,-7.685575567369983e-07,-1.0,sol,0,-3.0742302269479932e-06,sol,0,-3.0742302269479932e-06,2.0996277103208066e-07,True,7.844829432377234e-07,1,[7.764794228803711e-07]
95,0.429999977350235,diverted,423082.5,0.0037780918646603823,sol,0,7.85181850169625e-07,1.9629546254240626e-07,1.0,sol,0,7.85181850169625e-07,sol,0,7.85181850169625e-07,4.783183159365511e-07,True,5.325793636918071e-07,1,[3.2333096439472617e-07]
96,0.4350000023841858,diverted,425222.375,0.0042351242154836655,p6_upper,11,3.772294296815649e-07,9.430735742039122e-08,1.0,p6_upper,11,3.772294296815649e-07,p6_upper,11,3.772294296815649e-07,3.6720704791926887e-07,True,5.154273429119931e-07,1,[2.2047355998451127e-07]
97,0.4399999976158142,diverted,423178.28125,0.004181156400591135,sol,0,-4.6529313593966415e-07,-1.1632328398491604e-07,-1.0,sol,0,-4.6529313593966415e-07,sol,0,-4.6529313593966415e-07,3.817383894225297e-07,True,5.048717807788804e-07,1,[2.4233931486969255e-07]
