!======================
! Define Coil Currents (total current  in MAT) - 15 MA Baseline Scenario
! Reference spreadsheet: Currents-Loads for Analysis 2016-01 (ITER_D_SFGRPW)
!=====================
         TFonly     IM       SOP      XPF     CS10    CS2U0    CS2L0      SOF      SOB      EOB      EOP   EOB+PD
          [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]     [MA]
TIME      0.000    0.005    1.100   11.507   27.937   47.087   56.757   64.997   99.997  631.997  702.999  635.000
I_CS3U    0.000  -23.168  -22.864  -18.104  -12.918  -10.284   -8.969   -7.292   -4.177   -1.170   -1.118   -2.042
I_CS2U    0.000  -22.244  -20.964  -16.786  -11.083   -0.001    5.676    9.904    8.484   12.846    0.324   10.665
I_CS1U    0.000  -22.141  -20.463  -10.079    0.001    9.628   14.376   18.555   17.157   24.344    1.789   21.177
I_CS1L    0.000  -22.141  -20.463  -10.079    0.001    9.628   14.376   18.555   17.157   24.344    1.789   21.177
I_CS2L    0.000  -22.296  -21.430  -17.301  -11.355   -3.791    0.000    3.108    4.219   13.007    2.137   11.517
I_CS3L    0.000  -23.255  -20.440  -15.278  -13.505   -9.407   -7.337   -5.575   -6.025   -2.609   -1.621   -3.178
I_PF1     0.000  -10.062   -6.698   -5.477   -4.759   -6.328   -7.229   -8.036   -8.519   -3.095   -0.500   -3.898
I_PF2     0.000   -1.256   -0.750   -0.177    0.671    2.056    2.657    3.181    2.339    2.362    0.997    1.217
I_PF3     0.000   -0.023   -0.072    0.879    1.899    3.189    4.000    4.718    6.069    6.232    0.441    5.116
I_PF4     0.000   -0.530   -0.462    0.727    2.197    3.576    4.139    4.585    4.970    4.530   -0.098    3.343
I_PF5     0.000    0.174    0.188    1.638    2.972    5.217    6.434    7.517    7.341    8.183    1.499    7.344
I_PF6     0.000   -9.642   -7.872   -9.400-  11.104  -14.444  -16.259  -17.954  -18.093  -16.353   -1.336  -16.923
I_TF      9.130    9.130    9.130    9.130    9.130    9.130    9.130    9.130    9.130    9.130    9.130    9.130
I_PL      0.000   -0.001   -0.001   -3.401   -7.008  -11.051  -13.082  -14.844  -15.013  -14.996    0.000    0.000
