!===========================
C_ID    V_0     V_1      V_2
!===========================
 1.00   1.00    0.65    0.50
 2.00   1.00    0.65    0.50
 3.00   1.00    0.65    0.50
 4.00   1.00    0.65    0.50
 5.00   1.00    0.65    0.50
 6.00   1.00    0.65    0.50
 7.00   1.00    0.65    0.50
 8.00   1.00    0.65    0.50
 9.00   1.00    0.65    0.50
10.00   1.00    0.65    0.50
11.00   1.00    0.65    0.50
12.00   1.00    0.65    0.50
13.00   1.00    0.65    0.50
14.00   1.00    0.65    0.50
15.00   1.00    0.65    0.50
16.00   1.00    0.65    0.50
17.00   1.00    0.65    0.50
18.00   1.00    0.65    0.50
