// SpatialAnalyzer SA 2022.2.0624.7 ( x64 )
// Points Relative to Coordinate Frame 'Frames::TGCS clocked to Sector6'
// AXES = CARTESIAN: X,  Y,  Z (mm)
// Collection,  Group,  Point,  X,  Y,  Z

SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_12,3706.8989055020807,654.5363400225846,3054.665362
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_11,3707.490353022758,-652.3723009410487,3055.874264
SCOD,USMN Composite VV+TFC FINAL POSITION,VV_5B,6953.910665803923,2103.848314812358,3807.327092
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS4_32,6531.073129803923,2149.8454128123576,-2929.994116
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_02,3705.501986803922,650.2684258123579,-2010.880032
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_01,3704.6926698039224,-655.681617187642,-2010.533784
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-B2-AU,2574.611287803922,981.2075408123579,3730.540228
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-H2-AU,2576.739569803922,982.0126628123579,29.700652
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-A2-AU,2575.2475578039225,980.865889812358,-3672.291961
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P4-OIS,5711.046695803922,2118.6603338123577,-6088.616721
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P5-OIS,7190.858669803923,2658.1969778123575,-6324.673736
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P16-IOIS,9408.842209803923,3460.7500458123577,-2970.208671
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P15-IOIS,9995.913038803923,3675.9674938123576,-1216.730341
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-G2-BU,10466.591022803923,2411.3870038123578,28.648816
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-G1-BU,11061.615186803923,1953.637762812358,28.209094
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P14-IOIS,9627.602319803922,3541.973517812358,2408.126636
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P13-IOIS,8862.920588803923,3263.4685138123577,3909.22111
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-D2-BU,8553.060829803922,2082.6381368123575,4662.192701
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P2-OIS,7189.666156803923,2656.941018812358,6384.735121
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-P3-OIS,5711.043405803923,2118.0852628123575,6148.931619
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS4_17,6527.207899803922,-2155.6374441876424,-2929.239935
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS2_11,6957.778657803923,-2100.7138781876424,3805.859377
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P9-OIS,5711.389053803923,-2119.7430811876425,6148.729399
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-D4-BU,8551.640983803924,-2081.4283521876423,4662.622968
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P17-IOIS,8864.480485803922,-3263.8639861876422,3909.352844
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P18-IOIS,9627.408012803922,-3542.1688691876425,2405.454032
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-G4-BU,10465.347978803922,-2412.244951187642,28.047272
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-G1-BU,11061.113352803923,-1953.927052187642,29.750017
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P19-IOIS,9993.994822803923,-3676.205377187642,-1216.602648
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P20-IOIS,9407.144560803923,-3462.3029261876422,-2970.742626
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P11-OIS,7189.895553803923,-2656.8920961876424,-6325.590477
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P10-OIS,5711.621727803923,-2118.6448391876424,-6089.385331
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-A4-AU,2575.710496803922,-981.6192341876421,-3669.413975
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-H4-AU,2575.7802948039225,-981.499871187642,31.420246
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-B4-AU,2575.0107198039223,-980.7626781876421,3730.645968
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-A1-AU,2112.2300708039224,-372.9759981876421,-3667.92362
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-H1-AU,2112.3301878039224,-373.5179721876421,29.534017
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-B1-AU,2112.080169803922,-371.5827441876421,3730.586796
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-B1-AU,2111.8897058039224,374.3557468123579,3730.873823
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-H1-AU,2112.9795478039223,373.9129128123579,29.661571
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-A1-AU - XXX,2121.141812803922,349.9489718123579,-3667.796463
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-D1-BU,9002.685138803923,1590.240466812358,5020.988643
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC13-A1-AU,2112.8251678039223,374.7157318123579,-3668.148628
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P8-OIS_XXX,7179.225926803922,-2637.9504521876424,6397.521537
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-D1-BU,9003.600512803923,-1590.377578187642,5019.957876
SCOD,USMN Composite VV+TFC FINAL POSITION,TFC12-P8-OIS,7189.257327803923,-2658.0390301876423,6384.096133
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_13,3706.9511258039224,654.240526812358,3054.665362
SCOD,USMN Composite VV+TFC FINAL POSITION,IS_PS1_14,3707.438281803922,-652.668157187642,3055.874264
SCOD,USMN Composite VV+TFC FINAL POSITION,VV_5B1,6953.910665803923,2103.848314812358,3807.327092
