model_name	route	state	rho	bootstrap_fraction
implicit-default	facade	initial	0	0
implicit-default	facade	initial	0.0625	0
implicit-default	facade	initial	0.1875	0
implicit-default	facade	initial	0.3125	0
implicit-default	facade	initial	0.4375	0
implicit-default	facade	initial	0.5625	0
implicit-default	facade	initial	0.6875	0
implicit-default	facade	initial	0.8125	0
implicit-default	facade	initial	0.9375	0
implicit-default	facade	initial	1	0
implicit-default	facade	final	0	0
implicit-default	facade	final	0.0625	0
implicit-default	facade	final	0.1875	0
implicit-default	facade	final	0.3125	0
implicit-default	facade	final	0.4375	0
implicit-default	facade	final	0.5625	0
implicit-default	facade	final	0.6875	0
implicit-default	facade	final	0.8125	0
implicit-default	facade	final	0.9375	0
implicit-default	facade	final	1	0
implicit-default	torax-standalone	initial	0	0
implicit-default	torax-standalone	initial	0.0625	0
implicit-default	torax-standalone	initial	0.1875	0
implicit-default	torax-standalone	initial	0.3125	0
implicit-default	torax-standalone	initial	0.4375	0
implicit-default	torax-standalone	initial	0.5625	0
implicit-default	torax-standalone	initial	0.6875	0
implicit-default	torax-standalone	initial	0.8125	0
implicit-default	torax-standalone	initial	0.9375	0
implicit-default	torax-standalone	initial	1	0
implicit-default	torax-standalone	final	0	0
implicit-default	torax-standalone	final	0.0625	0
implicit-default	torax-standalone	final	0.1875	0
implicit-default	torax-standalone	final	0.3125	0
implicit-default	torax-standalone	final	0.4375	0
implicit-default	torax-standalone	final	0.5625	0
implicit-default	torax-standalone	final	0.6875	0
implicit-default	torax-standalone	final	0.8125	0
implicit-default	torax-standalone	final	0.9375	0
implicit-default	torax-standalone	final	1	0
zeros	facade	initial	0	0
zeros	facade	initial	0.0625	0
zeros	facade	initial	0.1875	0
zeros	facade	initial	0.3125	0
zeros	facade	initial	0.4375	0
zeros	facade	initial	0.5625	0
zeros	facade	initial	0.6875	0
zeros	facade	initial	0.8125	0
zeros	facade	initial	0.9375	0
zeros	facade	initial	1	0
zeros	facade	final	0	0
zeros	facade	final	0.0625	0
zeros	facade	final	0.1875	0
zeros	facade	final	0.3125	0
zeros	facade	final	0.4375	0
zeros	facade	final	0.5625	0
zeros	facade	final	0.6875	0
zeros	facade	final	0.8125	0
zeros	facade	final	0.9375	0
zeros	facade	final	1	0
zeros	torax-standalone	initial	0	0
zeros	torax-standalone	initial	0.0625	0
zeros	torax-standalone	initial	0.1875	0
zeros	torax-standalone	initial	0.3125	0
zeros	torax-standalone	initial	0.4375	0
zeros	torax-standalone	initial	0.5625	0
zeros	torax-standalone	initial	0.6875	0
zeros	torax-standalone	initial	0.8125	0
zeros	torax-standalone	initial	0.9375	0
zeros	torax-standalone	initial	1	0
zeros	torax-standalone	final	0	0
zeros	torax-standalone	final	0.0625	0
zeros	torax-standalone	final	0.1875	0
zeros	torax-standalone	final	0.3125	0
zeros	torax-standalone	final	0.4375	0
zeros	torax-standalone	final	0.5625	0
zeros	torax-standalone	final	0.6875	0
zeros	torax-standalone	final	0.8125	0
zeros	torax-standalone	final	0.9375	0
zeros	torax-standalone	final	1	0
sauter	facade	initial	0	0
sauter	facade	initial	0.0625	0.019273575108048602
sauter	facade	initial	0.1875	0.14453933128497787
sauter	facade	initial	0.3125	0.11111331740861134
sauter	facade	initial	0.4375	0.14715317980247719
sauter	facade	initial	0.5625	0.17811000433170254
sauter	facade	initial	0.6875	0.20452004193210332
sauter	facade	initial	0.8125	0.18959679520393821
sauter	facade	initial	0.9375	0.10525398906490155
sauter	facade	initial	1	0
sauter	facade	final	0	0
sauter	facade	final	0.0625	0.0035788472284914627
sauter	facade	final	0.1875	0.066256198840030645
sauter	facade	final	0.3125	0.074063707027532774
sauter	facade	final	0.4375	0.097657658318414373
sauter	facade	final	0.5625	0.12128387924718091
sauter	facade	final	0.6875	0.14832236720965525
sauter	facade	final	0.8125	0.19755108251146358
sauter	facade	final	0.9375	0.30852523791868824
sauter	facade	final	1	0.22897108869946489
sauter	torax-standalone	initial	0	0
sauter	torax-standalone	initial	0.0625	0.019273575108048602
sauter	torax-standalone	initial	0.1875	0.14453933128497787
sauter	torax-standalone	initial	0.3125	0.11111331740861134
sauter	torax-standalone	initial	0.4375	0.14715317980247719
sauter	torax-standalone	initial	0.5625	0.17811000433170254
sauter	torax-standalone	initial	0.6875	0.20452004193210332
sauter	torax-standalone	initial	0.8125	0.18959679520393821
sauter	torax-standalone	initial	0.9375	0.10525398906490155
sauter	torax-standalone	initial	1	0
sauter	torax-standalone	final	0	0
sauter	torax-standalone	final	0.0625	0.0035788472284914627
sauter	torax-standalone	final	0.1875	0.066256198840030645
sauter	torax-standalone	final	0.3125	0.074063707027532774
sauter	torax-standalone	final	0.4375	0.097657658318414373
sauter	torax-standalone	final	0.5625	0.12128387924718091
sauter	torax-standalone	final	0.6875	0.14832236720965525
sauter	torax-standalone	final	0.8125	0.19755108251146358
sauter	torax-standalone	final	0.9375	0.30852523791868824
sauter	torax-standalone	final	1	0.22897108869946489
