record_type	series	part	order	r_m	z_m	psi_n	inside_limiter	boundary_fill	value
metadata	shot								21978
metadata	slice_index								46
metadata	time_s								0.24499998986721039
metadata	flux_unit								Wb
metadata	normalisation								(psi-axis_psi)/(boundary_psi-axis_psi)
metadata	axis_psi_Wb								0.33296397013155626
metadata	boundary_psi_Wb								-0.16010901066867111
metadata	axis_r_m								0.90231215953826904
metadata	axis_z_m								0.0055591333657503128
metadata	grid_rows								65
metadata	grid_columns								65
metadata	machine_physical_digest								b55c5bb005a2cb67
metadata	machine_evidence								observed
metadata	nearest_passive_structure								coil_cases
metadata	nearest_passive_distance_m								0.010382499015126334
metadata	nearest_active_structures								p2_outer_lower,p2_outer_upper
metadata	nearest_active_distance_min_m								0.021912499015126378
metadata	nearest_active_distance_max_m								0.034824266113304803
metadata	source								/work/projects/imas_gpu/mast/level1/shots/21978.zarr/efm
grid	normalised_flux	0	0	0.059999998658895493	-2	0.67566885289207912	0	0	-
grid	normalised_flux	0	1	0.09031249867985025	-2	0.67612288037633905	0	0	-
grid	normalised_flux	0	2	0.12062499870080501	-2	0.67670121343228329	0	0	-
grid	normalised_flux	0	3	0.15093749872175977	-2	0.67735327773526621	0	0	-
grid	normalised_flux	0	4	0.18124999874271452	-2	0.67802372223317742	0	0	-
grid	normalised_flux	0	5	0.21156249876366928	-2	0.67866293319464033	0	0	-
grid	normalised_flux	0	6	0.24187499878462404	-2	0.6792488838697095	0	0	-
grid	normalised_flux	0	7	0.2721874988055788	-2	0.67976210222943967	0	0	-
grid	normalised_flux	0	8	0.30249999882653356	-2	0.68022713043281779	0	0	-
grid	normalised_flux	0	9	0.33281249884748831	-2	0.68073039619143616	0	0	-
grid	normalised_flux	0	10	0.36312499886844307	-2	0.68143246104063271	0	0	-
grid	normalised_flux	0	11	0.39343749888939783	-2	0.68258230022297628	0	0	-
grid	normalised_flux	0	12	0.42374999891035259	-2	0.68452589457640001	0	0	-
grid	normalised_flux	0	13	0.45406249893130735	-2	0.68778322411749304	0	0	-
grid	normalised_flux	0	14	0.4843749989522621	-2	0.69255755021498921	0	0	-
grid	normalised_flux	0	15	0.51468749897321686	-2	0.69894590368324505	0	0	-
grid	normalised_flux	0	16	0.54499999899417162	-2	0.70737989719006078	0	0	-
grid	normalised_flux	0	17	0.57531249901512638	-2	0.71761619416283695	0	0	-
grid	normalised_flux	0	18	0.60562499903608114	-2	0.72934343202262775	0	0	-
grid	normalised_flux	0	19	0.63593749905703589	-2	0.74238935318471133	0	0	-
grid	normalised_flux	0	20	0.66624999907799065	-2	0.75653441297045643	0	0	-
grid	normalised_flux	0	21	0.69656249909894541	-2	0.77156653448987356	0	0	-
grid	normalised_flux	0	22	0.72687499911990017	-2	0.78729036846217504	0	0	-
grid	normalised_flux	0	23	0.75718749914085492	-2	0.80362783688740336	0	0	-
grid	normalised_flux	0	24	0.78749999916180968	-2	0.8204885548973907	0	0	-
grid	normalised_flux	0	25	0.81781249918276444	-2	0.83795614273650532	0	0	-
grid	normalised_flux	0	26	0.8481249992037192	-2	0.85582376906514279	0	0	-
grid	normalised_flux	0	27	0.87843749922467396	-2	0.87400945138995934	0	0	-
grid	normalised_flux	0	28	0.90874999924562871	-2	0.89237205829653099	0	0	-
grid	normalised_flux	0	29	0.93906249926658347	-2	0.91088676242873823	0	0	-
grid	normalised_flux	0	30	0.96937499928753823	-2	0.92952178192248525	0	0	-
grid	normalised_flux	0	31	0.99968749930849299	-2	0.94824025551194602	0	0	-
grid	normalised_flux	0	32	1.0299999993294477	-2	0.96700325694087197	0	0	-
grid	normalised_flux	0	33	1.0603124993504025	-2	0.98577012725990065	0	0	-
grid	normalised_flux	0	34	1.0906249993713573	-2	1.0044983324134236	0	0	-
grid	normalised_flux	0	35	1.120937499392312	-2	1.0231434395040644	0	0	-
grid	normalised_flux	0	36	1.1512499994132668	-2	1.0416590455861114	0	0	-
grid	normalised_flux	0	37	1.1815624994342215	-2	1.0599969200786519	0	0	-
grid	normalised_flux	0	38	1.2118749994551763	-2	1.0781069098234823	0	0	-
grid	normalised_flux	0	39	1.2421874994761311	-2	1.0959369390851086	0	0	-
grid	normalised_flux	0	40	1.2724999994970858	-2	1.1134331994349236	0	0	-
grid	normalised_flux	0	41	1.3028124995180406	-2	1.1305406244616487	0	0	-
grid	normalised_flux	0	42	1.3331249995389953	-2	1.1472031033910324	0	0	-
grid	normalised_flux	0	43	1.3634374995599501	-2	1.163364430506735	0	0	-
grid	normalised_flux	0	44	1.3937499995809048	-2	1.1789688273318144	0	0	-
grid	normalised_flux	0	45	1.4240624996018596	-2	1.1939612749260367	0	0	-
grid	normalised_flux	0	46	1.4543749996228144	-2	1.2082879885963158	0	0	-
grid	normalised_flux	0	47	1.4846874996437691	-2	1.221896038128363	0	0	-
grid	normalised_flux	0	48	1.5149999996647239	-2	1.2347313540028273	0	0	-
grid	normalised_flux	0	49	1.5453124996856786	-2	1.2467316067386667	0	0	-
grid	normalised_flux	0	50	1.5756249997066334	-2	1.2577929296911585	0	0	-
grid	normalised_flux	0	51	1.6059374997275881	-2	1.2678732160440929	0	0	-
grid	normalised_flux	0	52	1.6362499997485429	-2	1.2774285201191542	0	0	-
grid	normalised_flux	0	53	1.6665624997694977	-2	1.2866154014201345	0	0	-
grid	normalised_flux	0	54	1.6968749997904524	-2	1.2958574915455259	0	0	-
grid	normalised_flux	0	55	1.7271874998114072	-2	1.3045979076757497	0	0	-
grid	normalised_flux	0	56	1.7574999998323619	-2	1.3124940038137287	0	0	-
grid	normalised_flux	0	57	1.7878124998533167	-2	1.319355895782639	0	0	-
grid	normalised_flux	0	58	1.8181249998742715	-2	1.3252958051309838	0	0	-
grid	normalised_flux	0	59	1.8484374998952262	-2	1.3303568830379455	0	0	-
grid	normalised_flux	0	60	1.878749999916181	-2	1.3345656658172356	0	0	-
grid	normalised_flux	0	61	1.9090624999371357	-2	1.337946173817222	0	0	-
grid	normalised_flux	0	62	1.9393749999580905	-2	1.3405276966721802	0	0	-
grid	normalised_flux	0	63	1.9696874999790452	-2	1.3423561388818566	0	0	-
grid	normalised_flux	0	64	2	-2	1.3435770941388308	0	0	-
grid	normalised_flux	1	0	0.059999998658895493	-1.9375	0.67579310978739948	0	0	-
grid	normalised_flux	1	1	0.09031249867985025	-1.9375	0.67637269479941775	0	0	-
grid	normalised_flux	1	2	0.12062499870080501	-1.9375	0.67707135610454838	0	0	-
grid	normalised_flux	1	3	0.15093749872175977	-1.9375	0.67778513313586652	0	0	-
grid	normalised_flux	1	4	0.18124999874271452	-1.9375	0.67839808667600288	0	0	-
grid	normalised_flux	1	5	0.21156249876366928	-1.9375	0.67879673552487996	0	0	-
grid	normalised_flux	1	6	0.24187499878462404	-1.9375	0.67886624945176888	0	0	-
grid	normalised_flux	1	7	0.2721874988055788	-1.9375	0.67851395236888346	0	0	-
grid	normalised_flux	1	8	0.30249999882653356	-1.9375	0.67768953145954758	0	0	-
grid	normalised_flux	1	9	0.33281249884748831	-1.9375	0.67641915485872905	0	0	-
grid	normalised_flux	1	10	0.36312499886844307	-1.9375	0.67485205219794087	0	0	-
grid	normalised_flux	1	11	0.39343749888939783	-1.9375	0.67333358139673627	0	0	-
grid	normalised_flux	1	12	0.42374999891035259	-1.9375	0.67250300353005366	0	0	-
grid	normalised_flux	1	13	0.45406249893130735	-1.9375	0.67329996058597874	0	0	-
grid	normalised_flux	1	14	0.4843749989522621	-1.9375	0.6768476979486765	0	0	-
grid	normalised_flux	1	15	0.51468749897321686	-1.9375	0.68377386793664685	0	0	-
grid	normalised_flux	1	16	0.54499999899417162	-1.9375	0.69378622545052748	0	0	-
grid	normalised_flux	1	17	0.57531249901512638	-1.9375	0.70637798519881323	0	0	-
grid	normalised_flux	1	18	0.60562499903608114	-1.9375	0.72097732507596668	0	0	-
grid	normalised_flux	1	19	0.63593749905703589	-1.9375	0.73703966913061958	0	0	-
grid	normalised_flux	1	20	0.66624999907799065	-1.9375	0.75416559599682376	0	0	-
grid	normalised_flux	1	21	0.69656249909894541	-1.9375	0.7720604766387158	0	0	-
grid	normalised_flux	1	22	0.72687499911990017	-1.9375	0.79051587163506842	0	0	-
grid	normalised_flux	1	23	0.75718749914085492	-1.9375	0.80939133196771795	0	0	-
grid	normalised_flux	1	24	0.78749999916180968	-1.9375	0.82858433798282138	0	0	-
grid	normalised_flux	1	25	0.81781249918276444	-1.9375	0.84831126269986912	0	0	-
grid	normalised_flux	1	26	0.8481249992037192	-1.9375	0.86829228804878955	0	0	-
grid	normalised_flux	1	27	0.87843749922467396	-1.9375	0.88844921735201488	0	0	-
grid	normalised_flux	1	28	0.90874999924562871	-1.9375	0.9087441093774633	0	0	-
grid	normalised_flux	1	29	0.93906249926658347	-1.9375	0.92914486183149081	0	0	-
grid	normalised_flux	1	30	0.96937499928753823	-1.9375	0.94962560299500509	0	0	-
grid	normalised_flux	1	31	0.99968749930849299	-1.9375	0.97015963040564057	0	0	-
grid	normalised_flux	1	32	1.0299999993294477	-1.9375	0.99071656259510532	0	0	-
grid	normalised_flux	1	33	1.0603124993504025	-1.9375	1.0112612235196428	0	0	-
grid	normalised_flux	1	34	1.0906249993713573	-1.9375	1.0317535713534653	0	0	-
grid	normalised_flux	1	35	1.120937499392312	-1.9375	1.0521486272821883	0	0	-
grid	normalised_flux	1	36	1.1512499994132668	-1.9375	1.0723967128580498	0	0	-
grid	normalised_flux	1	37	1.1815624994342215	-1.9375	1.0924437822972217	0	0	-
grid	normalised_flux	1	38	1.2118749994551763	-1.9375	1.1122318497192063	0	0	-
grid	normalised_flux	1	39	1.2421874994761311	-1.9375	1.1316995350638461	0	0	-
grid	normalised_flux	1	40	1.2724999994970858	-1.9375	1.1507827524214624	0	0	-
grid	normalised_flux	1	41	1.3028124995180406	-1.9375	1.1694153271564327	0	0	-
grid	normalised_flux	1	42	1.3331249995389953	-1.9375	1.1875300877412056	0	0	-
grid	normalised_flux	1	43	1.3634374995599501	-1.9375	1.2050594354088322	0	0	-
grid	normalised_flux	1	44	1.3937499995809048	-1.9375	1.2219364834580262	0	0	-
grid	normalised_flux	1	45	1.4240624996018596	-1.9375	1.2380954844925627	0	0	-
grid	normalised_flux	1	46	1.4543749996228144	-1.9375	1.2534724475448522	0	0	-
grid	normalised_flux	1	47	1.4846874996437691	-1.9375	1.2680050431338523	0	0	-
grid	normalised_flux	1	48	1.5149999996647239	-1.9375	1.2816332678596867	0	0	-
grid	normalised_flux	1	49	1.5453124996856786	-1.9375	1.2943022451952539	0	0	-
grid	normalised_flux	1	50	1.5756249997066334	-1.9375	1.3059782232281232	0	0	-
grid	normalised_flux	1	51	1.6059374997275881	-1.9375	1.3166818993335683	0	0	-
grid	normalised_flux	1	52	1.6362499997485429	-1.9375	1.3264493515051858	0	0	-
grid	normalised_flux	1	53	1.6665624997694977	-1.9375	1.3357100028088618	0	0	-
grid	normalised_flux	1	54	1.6968749997904524	-1.9375	1.3451628168994829	0	0	-
grid	normalised_flux	1	55	1.7271874998114072	-1.9375	1.3536954522692179	0	0	-
grid	normalised_flux	1	56	1.7574999998323619	-1.9375	1.3612836037434337	0	0	-
grid	normalised_flux	1	57	1.7878124998533167	-1.9375	1.3678811294671618	0	0	-
grid	normalised_flux	1	58	1.8181249998742715	-1.9375	1.373493678494663	0	0	-
grid	normalised_flux	1	59	1.8484374998952262	-1.9375	1.3781579459431077	0	0	-
grid	normalised_flux	1	60	1.878749999916181	-1.9375	1.3819179849415202	0	0	-
grid	normalised_flux	1	61	1.9090624999371357	-1.9375	1.3848206968815751	0	0	-
grid	normalised_flux	1	62	1.9393749999580905	-1.9375	1.3869176353172796	0	0	-
grid	normalised_flux	1	63	1.9696874999790452	-1.9375	1.3882675219303169	0	0	-
grid	normalised_flux	1	64	2	-1.9375	1.3890113457219782	0	0	-
grid	normalised_flux	2	0	0.059999998658895493	-1.875	0.67611533655985312	0	0	-
grid	normalised_flux	2	1	0.09031249867985025	-1.875	0.67705262154569235	0	0	-
grid	normalised_flux	2	2	0.12062499870080501	-1.875	0.67816231654280912	0	0	-
grid	normalised_flux	2	3	0.15093749872175977	-1.875	0.67925490453323789	0	0	-
grid	normalised_flux	2	4	0.18124999874271452	-1.875	0.680105596400565	0	0	-
grid	normalised_flux	2	5	0.21156249876366928	-1.875	0.68050824579751901	0	0	-
grid	normalised_flux	2	6	0.24187499878462404	-1.875	0.68028193834942607	0	0	-
grid	normalised_flux	2	7	0.2721874988055788	-1.875	0.67910225582758099	0	0	-
grid	normalised_flux	2	8	0.30249999882653356	-1.875	0.67675393225207903	0	0	-
grid	normalised_flux	2	9	0.33281249884748831	-1.875	0.67305300879666929	0	0	-
grid	normalised_flux	2	10	0.36312499886844307	-1.875	0.66787735655757652	0	0	-
grid	normalised_flux	2	11	0.39343749888939783	-1.875	0.66123477858769186	0	0	-
grid	normalised_flux	2	12	0.42374999891035259	-1.875	0.65345265300950039	0	0	-
grid	normalised_flux	2	13	0.45406249893130735	-1.875	0.6463341370260236	0	0	-
grid	normalised_flux	2	14	0.4843749989522621	-1.875	0.64635644544986004	0	0	-
grid	normalised_flux	2	15	0.51468749897321686	-1.875	0.6566167479363032	0	0	-
grid	normalised_flux	2	16	0.54499999899417162	-1.875	0.67208401389503569	0	0	-
grid	normalised_flux	2	17	0.57531249901512638	-1.875	0.69016277696446693	0	0	-
grid	normalised_flux	2	18	0.60562499903608114	-1.875	0.70994987864739623	0	0	-
grid	normalised_flux	2	19	0.63593749905703589	-1.875	0.73074499086728317	0	0	-
grid	normalised_flux	2	20	0.66624999907799065	-1.875	0.75208575900479424	0	0	-
grid	normalised_flux	2	21	0.69656249909894541	-1.875	0.77368396261503358	0	0	-
grid	normalised_flux	2	22	0.72687499911990017	-1.875	0.795377855982631	0	0	-
grid	normalised_flux	2	23	0.75718749914085492	-1.875	0.81714254647878071	0	0	-
grid	normalised_flux	2	24	0.78749999916180968	-1.875	0.83899542630730395	0	0	-
grid	normalised_flux	2	25	0.81781249918276444	-1.875	0.86098675543625347	0	0	-
grid	normalised_flux	2	26	0.8481249992037192	-1.875	0.88309994273567938	0	0	-
grid	normalised_flux	2	27	0.87843749922467396	-1.875	0.90531031513035576	0	0	-
grid	normalised_flux	2	28	0.90874999924562871	-1.875	0.92756315037407422	0	0	-
grid	normalised_flux	2	29	0.93906249926658347	-1.875	0.94986782399806546	0	0	-
grid	normalised_flux	2	30	0.96937499928753823	-1.875	0.97222561772052296	0	0	-
grid	normalised_flux	2	31	0.99968749930849299	-1.875	0.99462613538276601	0	0	-
grid	normalised_flux	2	32	1.0299999993294477	-1.875	1.017049083113396	0	0	-
grid	normalised_flux	2	33	1.0603124993504025	-1.875	1.0394648864518732	0	0	-
grid	normalised_flux	2	34	1.0906249993713573	-1.875	1.0618350226458242	0	0	-
grid	normalised_flux	2	35	1.120937499392312	-1.875	1.084112566568052	0	0	-
grid	normalised_flux	2	36	1.1512499994132668	-1.875	1.1062427128980203	0	0	-
grid	normalised_flux	2	37	1.1815624994342215	-1.875	1.1281634169809525	0	0	-
grid	normalised_flux	2	38	1.2118749994551763	-1.875	1.1498064629263252	0	0	-
grid	normalised_flux	2	39	1.2421874994761311	-1.875	1.1710981282024857	0	0	-
grid	normalised_flux	2	40	1.2724999994970858	-1.875	1.1919606077679812	0	0	-
grid	normalised_flux	2	41	1.3028124995180406	-1.875	1.2123132008476618	0	0	-
grid	normalised_flux	2	42	1.3331249995389953	-1.875	1.2320736875929632	0	0	-
grid	normalised_flux	2	43	1.3634374995599501	-1.875	1.2511597532132319	0	0	-
grid	normalised_flux	2	44	1.3937499995809048	-1.875	1.2694905070491416	0	0	-
grid	normalised_flux	2	45	1.4240624996018596	-1.875	1.2869878117619291	0	0	-
grid	normalised_flux	2	46	1.4543749996228144	-1.875	1.3035772802253243	0	0	-
grid	normalised_flux	2	47	1.4846874996437691	-1.875	1.3191886552939021	0	0	-
grid	normalised_flux	2	48	1.5149999996647239	-1.875	1.3337552401505535	0	0	-
grid	normalised_flux	2	49	1.5453124996856786	-1.875	1.3472085815495338	0	0	-
grid	normalised_flux	2	50	1.5756249997066334	-1.875	1.3594588642752052	0	0	-
grid	normalised_flux	2	51	1.6059374997275881	-1.875	1.370506752922187	0	0	-
grid	normalised_flux	2	52	1.6362499997485429	-1.875	1.3807373800721208	0	0	-
grid	normalised_flux	2	53	1.6665624997694977	-1.875	1.3903008016957419	0	0	-
grid	normalised_flux	2	54	1.6968749997904524	-1.875	1.3993250471992724	0	0	-
grid	normalised_flux	2	55	1.7271874998114072	-1.875	1.4076534621368342	0	0	-
grid	normalised_flux	2	56	1.7574999998323619	-1.875	1.4149537017279412	0	0	-
grid	normalised_flux	2	57	1.7878124998533167	-1.875	1.4210646017775153	0	0	-
grid	normalised_flux	2	58	1.8181249998742715	-1.875	1.4260893168646154	0	0	-
grid	normalised_flux	2	59	1.8484374998952262	-1.875	1.4300969648296054	0	0	-
grid	normalised_flux	2	60	1.878749999916181	-1.875	1.433147026890875	0	0	-
grid	normalised_flux	2	61	1.9090624999371357	-1.875	1.4352978924327975	0	0	-
grid	normalised_flux	2	62	1.9393749999580905	-1.875	1.4366089002606304	0	0	-
grid	normalised_flux	2	63	1.9696874999790452	-1.875	1.4371406708978243	0	0	-
grid	normalised_flux	2	64	2	-1.875	1.4370219458162652	0	0	-
grid	normalised_flux	3	0	0.059999998658895493	-1.8125	0.67679013133392496	0	0	-
grid	normalised_flux	3	1	0.09031249867985025	-1.8125	0.67849940954031751	0	0	-
grid	normalised_flux	3	2	0.12062499870080501	-1.8125	0.68055131501497734	0	0	-
grid	normalised_flux	3	3	0.15093749872175977	-1.8125	0.68263439524358183	0	0	-
grid	normalised_flux	3	4	0.18124999874271452	-1.8125	0.68439470315359174	0	0	-
grid	normalised_flux	3	5	0.21156249876366928	-1.8125	0.68545850922739782	0	0	-
grid	normalised_flux	3	6	0.24187499878462404	-1.8125	0.6854412698210004	0	0	-
grid	normalised_flux	3	7	0.2721874988055788	-1.8125	0.68390667856710352	0	0	-
grid	normalised_flux	3	8	0.30249999882653356	-1.8125	0.68040346088478532	0	0	-
grid	normalised_flux	3	9	0.33281249884748831	-1.8125	0.67443963262034279	0	0	-
grid	normalised_flux	3	10	0.36312499886844307	-1.8125	0.66543895148354848	0	0	-
grid	normalised_flux	3	11	0.39343749888939783	-1.8125	0.6526683245493704	0	0	-
grid	normalised_flux	3	12	0.42374999891035259	-1.8125	0.63510093625716357	0	0	-
grid	normalised_flux	3	13	0.45406249893130735	-1.8125	0.61176760664239538	0	0	-
grid	normalised_flux	3	14	0.4843749989522621	-1.8125	0.60321763247376414	0	0	-
grid	normalised_flux	3	15	0.51468749897321686	-1.8125	0.62069968711360057	0	0	-
grid	normalised_flux	3	16	0.54499999899417162	-1.8125	0.64440598485493295	0	0	-
grid	normalised_flux	3	17	0.57531249901512638	-1.8125	0.67145991875247713	1	1	-
grid	normalised_flux	3	18	0.60562499903608114	-1.8125	0.69944976134644588	1	1	-
grid	normalised_flux	3	19	0.63593749905703589	-1.8125	0.72682295099663796	1	1	-
grid	normalised_flux	3	20	0.66624999907799065	-1.8125	0.75333066340357036	1	1	-
grid	normalised_flux	3	21	0.69656249909894541	-1.8125	0.77904534828152205	1	1	-
grid	normalised_flux	3	22	0.72687499911990017	-1.8125	0.80412341085339023	1	1	-
grid	normalised_flux	3	23	0.75718749914085492	-1.8125	0.82873522469682981	1	1	-
grid	normalised_flux	3	24	0.78749999916180968	-1.8125	0.85303825126547128	1	1	-
grid	normalised_flux	3	25	0.81781249918276444	-1.8125	0.87716169487388207	1	1	-
grid	normalised_flux	3	26	0.8481249992037192	-1.8125	0.90120423595520505	1	1	-
grid	normalised_flux	3	27	0.87843749922467396	-1.8125	0.92523327152445145	1	1	-
grid	normalised_flux	3	28	0.90874999924562871	-1.8125	0.94929185781871595	1	1	-
grid	normalised_flux	3	29	0.93906249926658347	-1.8125	0.97340973544719367	1	1	-
grid	normalised_flux	3	30	0.96937499928753823	-1.8125	0.99760254611895027	1	1	-
grid	normalised_flux	3	31	0.99968749930849299	-1.8125	1.0218716190232235	1	0	-
grid	normalised_flux	3	32	1.0299999993294477	-1.8125	1.0462039470939011	1	0	-
grid	normalised_flux	3	33	1.0603124993504025	-1.8125	1.0705727566620509	1	0	-
grid	normalised_flux	3	34	1.0906249993713573	-1.8125	1.094938195786062	1	0	-
grid	normalised_flux	3	35	1.120937499392312	-1.8125	1.1192480225817858	1	0	-
grid	normalised_flux	3	36	1.1512499994132668	-1.8125	1.1434385071723763	1	0	-
grid	normalised_flux	3	37	1.1815624994342215	-1.8125	1.1674356896709608	1	0	-
grid	normalised_flux	3	38	1.2118749994551763	-1.8125	1.1911561634528691	1	0	-
grid	normalised_flux	3	39	1.2421874994761311	-1.8125	1.2145088790553149	1	0	-
grid	normalised_flux	3	40	1.2724999994970858	-1.8125	1.2373967107218526	1	0	-
grid	normalised_flux	3	41	1.3028124995180406	-1.8125	1.2597183552441475	1	0	-
grid	normalised_flux	3	42	1.3331249995389953	-1.8125	1.2813704206879191	1	0	-
grid	normalised_flux	3	43	1.3634374995599501	-1.8125	1.3022498474161961	1	0	-
grid	normalised_flux	3	44	1.3937499995809048	-1.8125	1.3222563765836162	1	0	-
grid	normalised_flux	3	45	1.4240624996018596	-1.8125	1.3412948762175909	1	0	-
grid	normalised_flux	3	46	1.4543749996228144	-1.8125	1.3592780945388692	1	0	-
grid	normalised_flux	3	47	1.4846874996437691	-1.8125	1.3761290335137504	1	0	-
grid	normalised_flux	3	48	1.5149999996647239	-1.8125	1.3917841768850858	1	0	-
grid	normalised_flux	3	49	1.5453124996856786	-1.8125	1.4061980473925271	1	0	-
grid	normalised_flux	3	50	1.5756249997066334	-1.8125	1.4193517990315243	1	0	-
grid	normalised_flux	3	51	1.6059374997275881	-1.8125	1.4312676957218098	1	0	-
grid	normalised_flux	3	52	1.6362499997485429	-1.8125	1.4420137159986866	1	0	-
grid	normalised_flux	3	53	1.6665624997694977	-1.8125	1.4516471574125109	1	0	-
grid	normalised_flux	3	54	1.6968749997904524	-1.8125	1.4601973095975582	1	0	-
grid	normalised_flux	3	55	1.7271874998114072	-1.8125	1.4676623686541479	1	0	-
grid	normalised_flux	3	56	1.7574999998323619	-1.8125	1.4740070161253915	1	0	-
grid	normalised_flux	3	57	1.7878124998533167	-1.8125	1.4792157289798333	1	0	-
grid	normalised_flux	3	58	1.8181249998742715	-1.8125	1.4833136193998588	1	0	-
grid	normalised_flux	3	59	1.8484374998952262	-1.8125	1.4863473988929656	1	0	-
grid	normalised_flux	3	60	1.878749999916181	-1.8125	1.4883751720172624	1	0	-
grid	normalised_flux	3	61	1.9090624999371357	-1.8125	1.4894609297403385	0	0	-
grid	normalised_flux	3	62	1.9393749999580905	-1.8125	1.4896709416399052	0	0	-
grid	normalised_flux	3	63	1.9696874999790452	-1.8125	1.4890713823515855	0	0	-
grid	normalised_flux	3	64	2	-1.8125	1.4877159890974203	0	0	-
grid	normalised_flux	4	0	0.059999998658895493	-1.75	0.6780764534770356	0	0	-
grid	normalised_flux	4	1	0.09031249867985025	-1.75	0.68125826826912461	0	0	-
grid	normalised_flux	4	2	0.12062499870080501	-1.75	0.68510888053641139	0	0	-
grid	normalised_flux	4	3	0.15093749872175977	-1.75	0.68912090770522927	0	0	-
grid	normalised_flux	4	4	0.18124999874271452	-1.75	0.69276837357271781	0	0	-
grid	normalised_flux	4	5	0.21156249876366928	-1.75	0.69548978766106984	0	0	-
grid	normalised_flux	4	6	0.24187499878462404	-1.75	0.69672785622948041	0	0	-
grid	normalised_flux	4	7	0.2721874988055788	-1.75	0.69591066445552874	0	0	-
grid	normalised_flux	4	8	0.30249999882653356	-1.75	0.69245334385560675	0	0	-
grid	normalised_flux	4	9	0.33281249884748831	-1.75	0.68570019766468104	0	0	-
grid	normalised_flux	4	10	0.36312499886844307	-1.75	0.6748427155614426	0	0	-
grid	normalised_flux	4	11	0.39343749888939783	-1.75	0.65882120383672371	0	0	-
grid	normalised_flux	4	12	0.42374999891035259	-1.75	0.63622438302239881	0	0	-
grid	normalised_flux	4	13	0.45406249893130735	-1.75	0.60585804315905933	0	0	-
