cell,radius_m,height_m,topology_zero,oracle_current_a,attributed_current_a,current_error_a,centroid_error_mm,oracle_radial_first_am,attributed_radial_first_am,oracle_vertical_first_am,attributed_vertical_first_am,first_error_norm_am,attribution_roundoff_current_a,attribution_roundoff_first_am
0,5.10351553389521,-3.748449708623358,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,5.5274406867329535,-4.4792321743318935,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5.364739391056437,-4.34151179943077,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5.479811175351997,-4.3127512002534685,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5.335486985834499,-4.1791517843021015,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5.479342791778796,-4.059564129423392,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,5.30958827701368,-3.922024475805872,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,5.2870632529335,-3.678128979015079,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,5.72750662646675,-3.169548778470661,False,-217.2873013346101,-232.82231885713793,-15.535017522527824,5.682832019912339,10.075733894107152,10.591521576080702,-22.127985740700204,-22.40285428053048,0.5844567110266382,1.9610979506978765e-11,2.4659192166519568e-12
15,4.582680123878616,-3.751872916282149,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,4.84800011240711,-3.640628281554349,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,5.066841566166875,-3.550983928878974,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,4.84661987940025,-3.42383887874287,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,4.84661987940025,-2.9152586781984526,False,-48.46467140190681,-64.04956113553949,-15.584889733632679,12.395645020132344,-5.253286469760415,-6.352489876634816,-2.1881288592778794,-2.3606326616576903,1.1126570412844126,-3.552713678800501e-12,4.708478753419339e-13
25,5.2870632529335,-3.42383887874287,True,0.0,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,5.507284939700125,-3.2966938286067657,False,-18.370808822168687,-28.59499087307866,-10.224182050909974,18.777913657211556,0.9557460865889161,1.3122942318928732,-2.1312510080013274,-2.8098784237402996,0.7665909921935213,2.319922032256727e-12,2.970144364736622e-13
35,5.947728313233375,-3.042403728334557,False,-501.12182480715387,-526.5566551617023,-25.434830354548467,4.3165923594819695,24.764185758805567,24.79094728064391,-47.238337750858356,-47.724698053014706,0.48709600959638266,3.7061909097246826e-11,4.727818362030659e-12
