window	coupling	damping	tolerance	iteration	maximum_residual	iteration_cap_one	iterations_used	contraction_estimate
weak coupling	0.002	1	1.00000000000000004e-10	1	1.00000000000000000e+00	true	5	2.00002774860479939e-03
weak coupling	0.002	1	1.00000000000000004e-10	2	1.99600798403198453e-03	false	5	2.00002774860479939e-03
weak coupling	0.002	1	1.00000000000000004e-10	3	3.99200003182919260e-06	false	5	2.00002774860479939e-03
weak coupling	0.002	1	1.00000000000000004e-10	4	7.98399999592532044e-09	false	5	2.00002774860479939e-03
weak coupling	0.002	1	1.00000000000000004e-10	5	1.59682215367112466e-11	false	5	2.00002774860479939e-03
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	1	1.00000000000000000e+00	true	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	2	5.12195121951219523e-01	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	3	3.24026451138868521e-01	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	4	2.25432681775029786e-01	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	5	1.65487435766307200e-01	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	6	1.25696665929145496e-01	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	7	9.77237293269998947e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	8	7.72560905352682320e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	9	6.18376229323470555e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	10	4.99661393991401789e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	11	4.06709675068334456e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	12	3.32969133889279012e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	13	2.73858148592099580e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	14	2.26078386678958201e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	15	1.87197284170584587e-02	false	124	8.40001413176499345e-01
strong coupling	0.80000000000000004	0.80000000000000004	1.00000000000000004e-10	16	1.55384119650373801e-02	false	124	8.40001413176499345e-01
