tree_sha	study	run	criterion	iteration	field	value	unit	status	provenance
c3d3d0b7e7bb7393ec040fe78f392bb6bc580f0d	attribution	band_only	damping=0.5		contraction_estimate	0.53758678955385919	ratio	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-only.tsv
c3d3d0b7e7bb7393ec040fe78f392bb6bc580f0d	attribution	band_only	damping=0.5		iterations_used	10	iterations	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-only.tsv
c3d3d0b7e7bb7393ec040fe78f392bb6bc580f0d	attribution	band_only	damping=0.5		window_wall	170.25771914608777	s	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-only.tsv
c05a83a6cc1ee0368c7c9e97d7656ecb778ce8bd	attribution	band_plus_shape	damping=0.5		contraction_estimate	0.64062864104278661	ratio	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-plus-shape.tsv
c05a83a6cc1ee0368c7c9e97d7656ecb778ce8bd	attribution	band_plus_shape	damping=0.5		iterations_used	10	iterations	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-plus-shape.tsv
c05a83a6cc1ee0368c7c9e97d7656ecb778ce8bd	attribution	band_plus_shape	damping=0.5		window_wall	171.7641979760956	s	WindowConvergenceError	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/band-plus-shape.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.5		contraction_estimate	0.62828535026498111	ratio	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.5.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.5		iterations_used	14	iterations	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.5.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.5		window_wall	233.02427290403284	s	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.5.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	existing_anderson		status	TracerArrayConversionError	type	ASSESSED	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.5.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	existing_anderson		reason	The numpy.ndarray conversion method __array__() was called on traced array with shape float64[2]	text	ASSESSED	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.5.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.69999999999999996		contraction_estimate	0.4718021749442266	ratio	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.7.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.69999999999999996		iterations_used	10	iterations	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.7.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=0.69999999999999996		window_wall	172.38636034913361	s	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-0.7.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=1		contraction_estimate	0.23723366557491143	ratio	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-1.0.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=1		iterations_used	6	iterations	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-1.0.tsv
632e048259def61f89c54bdee637011d64e4231e	acceleration	current	damping=1		window_wall	108.23742180201225	s	WindowReceipt	/home/ITER/mcintos/.config/reckon/crew/runs/r-20260822T122128731710-convergence-composition-study/current-damping-1.0.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	1	geometry.delta_lower_face	1.7437508268752859	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	2	geometry.delta_lower_face	0.91786089149618	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	3	geometry.delta_lower_face	0.56534643086755976	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	4	geometry.delta_lower_face	0.36610522239768434	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	5	geometry.delta_lower_face	0.24067272606521295	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	6	geometry.delta_lower_face	0.15833945163103733	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	7	geometry.delta_lower_face	0.10364417448533883	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	8	geometry.delta_lower_face	0.067359458975216988	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	9	geometry.delta_lower_face	0.04345312858171492	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
39865852d96d2a136e155e6bcf838fdc2412b26d	gating_composition	landed_converged	all_fields	10	geometry.delta_lower_face	0.027837318712361499	weighted_relative	GATING_FIELD	scripts/window_demonstration/receipts.tsv
