case	family	normalised_flux	baseline_drive	exchanged_drive	absolute_ratio	unit
collapse	p_prime	0	-840000	-508.152697085985	0.000604943687007125	Pa/Wb
collapse	p_prime	0.0625	-787500	-153819.51565488448	0.1953263690855676	Pa/Wb
collapse	p_prime	0.125	-735000	-242577.19221029515	0.3300369962044832	Pa/Wb
collapse	p_prime	0.1875	-682500	-232784.77995965644	0.34107660067348927	Pa/Wb
collapse	p_prime	0.25	-630000	-222992.36770901774	0.3539561392206631	Pa/Wb
collapse	p_prime	0.3125	-577500	-211766.40820317538	0.3666950791396976	Pa/Wb
collapse	p_prime	0.375	-525000	-200511.87068378716	0.3819273727310232	Pa/Wb
collapse	p_prime	0.4375	-472500	-189213.38519814488	0.40045160888496273	Pa/Wb
collapse	p_prime	0.5	-420000	-177870.2520320683	0.4235006000763531	Pa/Wb
collapse	p_prime	0.5625	-367500	-166575.85175934984	0.45326762383496555	Pa/Wb
collapse	p_prime	0.625	-315000	-156329.51230696193	0.4962841660538474	Pa/Wb
collapse	p_prime	0.6875	-262500	-146558.4703713812	0.5583179823671665	Pa/Wb
collapse	p_prime	0.75	-210000	-136787.42843580045	0.651368706837145	Pa/Wb
collapse	p_prime	0.8125	-157500	-129116.66045675833	0.8197883203603703	Pa/Wb
collapse	p_prime	0.875	-105000	-121693.24715179666	1.1589833062075872	Pa/Wb
collapse	p_prime	0.9375	-52500	-114617.56164742996	2.1831916504272373	Pa/Wb
collapse	p_prime	1	0	-108365.05883111103	undefined	Pa/Wb
collapse	ff_prime	0	-0.7	-1.6089322937788284	2.2984747053983265	T^2 m^2/Wb
collapse	ff_prime	0.0625	-0.65625	-1.2962460190582106	1.9752320290410827	T^2 m^2/Wb
collapse	ff_prime	0.125	-0.6124999999999999	-1.0736803178264238	1.7529474576757942	T^2 m^2/Wb
collapse	ff_prime	0.1875	-0.56875	-0.982925539242703	1.7282207283388185	T^2 m^2/Wb
collapse	ff_prime	0.25	-0.5249999999999999	-0.8921707606589819	1.6993728774456802	T^2 m^2/Wb
collapse	ff_prime	0.3125	-0.48124999999999996	-0.8064846302994582	1.6758122188040692	T^2 m^2/Wb
collapse	ff_prime	0.375	-0.4375	-0.7208995443227298	1.6477703870233824	T^2 m^2/Wb
collapse	ff_prime	0.4375	-0.39375	-0.6376243784907888	1.6193635009289875	T^2 m^2/Wb
collapse	ff_prime	0.5	-0.35	-0.5566959100203803	1.5905597429153724	T^2 m^2/Wb
collapse	ff_prime	0.5625	-0.30624999999999997	-0.4757440760364556	1.5534500442006713	T^2 m^2/Wb
collapse	ff_prime	0.625	-0.26249999999999996	-0.3942897379413279	1.5020561445383922	T^2 m^2/Wb
collapse	ff_prime	0.6875	-0.21875	-0.31260751330411496	1.4290629179616683	T^2 m^2/Wb
collapse	ff_prime	0.75	-0.175	-0.23092528866690207	1.3195730780965833	T^2 m^2/Wb
collapse	ff_prime	0.8125	-0.13124999999999998	-0.15794860520628828	1.2034179444288633	T^2 m^2/Wb
collapse	ff_prime	0.875	-0.0875	-0.0859971957551569	0.9828250943446503	T^2 m^2/Wb
collapse	ff_prime	0.9375	-0.04375	-0.017827764811103052	0.40749176711092694	T^2 m^2/Wb
collapse	ff_prime	1	0	0.041388515915256864	undefined	T^2 m^2/Wb
pressure_matched	p_prime	0	-840000	-508.152697085985	0.000604943687007125	Pa/Wb
pressure_matched	p_prime	0.0625	-787500	-153819.51565488448	0.1953263690855676	Pa/Wb
pressure_matched	p_prime	0.125	-735000	-242577.19221029515	0.3300369962044832	Pa/Wb
pressure_matched	p_prime	0.1875	-682500	-232784.77995965644	0.34107660067348927	Pa/Wb
