case	quantity	route	iteration	time_s	value	unit
rampup	central_ion_temperature	facade	0	0	5.8819999999999997	keV
rampup	central_ion_temperature	facade	1	2	4.1249404907609213	keV
rampup	central_ion_temperature	facade	2	4	3.0549429463837243	keV
rampup	central_ion_temperature	facade	3	6	2.6970739729945392	keV
rampup	central_ion_temperature	facade	4	8	2.6317442422031636	keV
rampup	central_ion_temperature	facade	5	10	2.6429372982516957	keV
rampup	central_ion_temperature	facade	6	12	2.6909311891905459	keV
rampup	central_ion_temperature	facade	7	14	2.8219933830255828	keV
rampup	central_ion_temperature	facade	8	16	2.9658440008560931	keV
rampup	central_ion_temperature	facade	9	18	3.0908391105837651	keV
rampup	central_ion_temperature	facade	10	20	3.1999119089694794	keV
rampup	central_ion_temperature	torax-run-simulation	0	0	5.8819999999999997	keV
rampup	central_ion_temperature	torax-run-simulation	1	2	4.1249404907609213	keV
rampup	central_ion_temperature	torax-run-simulation	2	4	3.0549429463837243	keV
rampup	central_ion_temperature	torax-run-simulation	3	6	2.6970739729945392	keV
rampup	central_ion_temperature	torax-run-simulation	4	8	2.6317442422031636	keV
rampup	central_ion_temperature	torax-run-simulation	5	10	2.6429372982516957	keV
rampup	central_ion_temperature	torax-run-simulation	6	12	2.6909311891905459	keV
rampup	central_ion_temperature	torax-run-simulation	7	14	2.8219933830255828	keV
rampup	central_ion_temperature	torax-run-simulation	8	16	2.9658440008560931	keV
rampup	central_ion_temperature	torax-run-simulation	9	18	3.0908391105837651	keV
rampup	central_ion_temperature	torax-run-simulation	10	20	3.1999119089694794	keV
rampup	central_ion_temperature	absolute-separation	0	0	0	keV
rampup	central_ion_temperature	absolute-separation	1	2	0	keV
rampup	central_ion_temperature	absolute-separation	2	4	0	keV
rampup	central_ion_temperature	absolute-separation	3	6	0	keV
rampup	central_ion_temperature	absolute-separation	4	8	0	keV
rampup	central_ion_temperature	absolute-separation	5	10	0	keV
rampup	central_ion_temperature	absolute-separation	6	12	0	keV
rampup	central_ion_temperature	absolute-separation	7	14	0	keV
rampup	central_ion_temperature	absolute-separation	8	16	0	keV
rampup	central_ion_temperature	absolute-separation	9	18	0	keV
rampup	central_ion_temperature	absolute-separation	10	20	0	keV
rampup	central_electron_temperature	facade	0	0	5.8819999999999997	keV
