tree_sha	lane	correction	window	kind	field	value	unit	status	provenance
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	wall_time	78.647500595077872	s	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	input_hash	1d66328b7d6d1bcc99ddbf20430a748353d1dd533d0102adcc271b25b6f8f91a	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	output_hash	587939dd34539734a257a9c8e5f799fb34e551c965c0292c91840b0368e85375	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	iterations_used	4	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	contraction_estimate	0.23619506584727215	ratio	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	gating_norm	0.0012913749878219105	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	all_field_norm	0.032597119023903123	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	damping_applied	1	fraction	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	flux_closure_error	0	Wb	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	flux_closure_residual	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	current_continuity_error	1.1641532182693481e-10	A	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	current_continuity_residual	2.0883354249038394e-16	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	selection_history_sequence	2	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	fine_receipt	selection_history_class	limited	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_residual_trace	gating_norm	1	relative	measured	exchange=1
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_residual_trace	gating_norm	0.024544392673843753	relative	measured	exchange=2
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_residual_trace	gating_norm	0.0054674088266388095	relative	measured	exchange=3
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_residual_trace	gating_norm	0.0012913749878219105	relative	measured	exchange=4
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.radial_grid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.phi_boundary	0.00030535540841767451	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.axis_reference	0.00010178972315078167	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.boundary_reference	0.00010331971991737405	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.b2_cell	6.6671701429416678e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.b2_face	7.0723501738044484e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.clipped_vertex_capacity	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.clipped_vertex_count_max	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.clipped_vertex_count_required	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.delta_lower_face	0.032597119023903123	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.delta_upper_face	0.032597119014098605	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.elongation_face	0.0087551597651442017	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.f_cell	7.4285631721010037e-06	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.f_face	7.7052621444414198e-06	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.flux_sign	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.g2_face	0.0002855851160726054	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.g3_cell	6.9856510375633239e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.g3_face	7.4706723269202165e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.grad_psi2_face	0.0004961433773465996	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.grad_psi2_over_r2_face	0.00046680466622597844	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.grad_psi_face	0.0002644587389717233	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.gradient_moment_scale	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.int_dl_over_bp_face	0.00031144257171987185	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.inv_b2_face	4.2994427616033168e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.inv_r_cell	3.2483254852154883e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.inv_r_face	3.3851808245314621e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.ip_amperes	4.4874954805996797e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.ip_profile_face	7.1707940344344109e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.psi_face	0.00010202797586481682	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.psi_n_cell	9.8362039521557133e-06	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.psi_n_face	9.6608795928654345e-06	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.q_face	0.00038612602813525225	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.r0	1.7071198373957844e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.r_in_face	5.3617395997331489e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.r_out_face	8.6225012009799986e-06	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.rho_cell	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.shape_axis_expansion_face	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.shape_boundary_cell_count_face	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_first_invalid_cell	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_first_invalid_level	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_invalid_count	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_max_coarea_weight	0.00032428786542330179	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_min_ordinate_derivative	7.1025233507831145e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_arc_valid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_cell_band_capacity	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_cell_band_max_count	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.surface_cell_band_overflow	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.valid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.volume	0.00025577672549128568	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.volume_face	0.00025577672549128568	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.vpr_cell	0.00023528879507596305	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	geometry.vpr_face	0.00023066591744312875	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.radial_grid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.phi_boundary	0.0012913749878219105	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.axis_reference	0.00043226015952088084	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.boundary_reference	0.0004306267833712184	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.boundary_field_function	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.boundary_pressure	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.ff_prime	0.00054968164897094989	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	window_exit_residual	source.p_prime	5.7945631980519032e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	extraction_receipt	valid_records	8	count	measured	total=8
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	branch_receipt	selected_class	limited	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	branch_receipt	selection_reason	history_continuity	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	branch_receipt	limited_core_cells	126	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		0	branch_receipt	diverted_core_cells	157	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	wall_time	68.831688209204003	s	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	input_hash	587939dd34539734a257a9c8e5f799fb34e551c965c0292c91840b0368e85375	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	output_hash	71285bcf14768ec18e486f79aa989f8570529daf20e95f181a494543851ec395	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	iterations_used	4	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	contraction_estimate	0.25350121738593812	ratio	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	gating_norm	0.00193242437491533	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	all_field_norm	0.00193242437491533	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	damping_applied	1	fraction	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	flux_closure_error	0	Wb	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	flux_closure_residual	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	current_continuity_error	1.1641532182693481e-10	A	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	current_continuity_residual	2.0531854294182247e-16	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	selection_history_sequence	4	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	fine_receipt	selection_history_class	limited	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_residual_trace	gating_norm	0.36530816952820666	relative	measured	exchange=1
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_residual_trace	gating_norm	0.029371245836307572	relative	measured	exchange=2
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_residual_trace	gating_norm	0.0076229392302023828	relative	measured	exchange=3
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_residual_trace	gating_norm	0.00193242437491533	relative	measured	exchange=4
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.radial_grid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.phi_boundary	0.00049223966411781359	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.axis_reference	0.00014911662187357152	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.boundary_reference	0.00017171453020265416	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.b2_cell	0.00011160892295081792	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.b2_face	0.00011932675856105691	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.clipped_vertex_capacity	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.clipped_vertex_count_max	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.clipped_vertex_count_required	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.delta_lower_face	0.00044547320788513103	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.delta_upper_face	0.00044547320769693999	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.elongation_face	3.3573771710884023e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.f_cell	1.0275918506155487e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.f_face	1.0538977171589428e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.flux_sign	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.g2_face	0.00045655180478663363	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.g3_cell	0.00011820672656165866	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.g3_face	0.00012579014138143133	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.grad_psi2_face	0.00070373145158161886	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.grad_psi2_over_r2_face	0.00064767412107158645	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.grad_psi_face	0.000362158763666238	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.gradient_moment_scale	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.int_dl_over_bp_face	0.00050124243145077566	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.inv_b2_face	7.24063685371949e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.inv_r_cell	5.4003518843158112e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.inv_r_face	5.6906315134186819e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.ip_amperes	7.5739858812688148e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.ip_profile_face	7.7039727307890677e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.psi_face	0.00015334802178187335	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.psi_n_cell	3.4794288730498453e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.psi_n_face	3.0444465997037096e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.q_face	0.0006269695214757131	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.r0	3.0199983629457663e-05	relative	measured	experiment.py
