cell,radius_m,height_m,psi_norm,domain,stencil_available,topology_oracle_current_a,bank_support_oracle_current_a,baseline_attributed_current_a,own_geometry_attributed_current_a,one_sided_attributed_current_a,bank_figure_classification,own_geometry_classification,one_sided_classification,causal_function
4,5.335486985834499,-4.1791517843021015,0.9795602761160322,private_flux,False,0.0,-2898.7787941125853,0.0,-3789.5286681091234,-3811.4829594374805,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
76,4.261377047853079,-3.8148553596637442,0.9939358818309596,private_flux,False,0.0,-248.80752167836232,0.0,-1816.25840618709,-3089.8623057299,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
3,5.479811175351997,-4.3127512002534685,0.991690496559992,private_flux,False,0.0,-1767.3107973057226,0.0,-2567.904686651961,-2492.066668895699,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
75,4.407346364316974,-3.855381693289957,0.979059668033232,private_flux,False,0.0,-1208.2192606183362,0.0,-1580.736105983899,-1544.8099240352499,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
16,4.84800011240711,-3.640628281554349,0.9923379433084437,private_flux,False,0.0,-551.4063634644492,0.0,-1397.6405512527544,-1529.2457119508529,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
15,4.582680123878616,-3.751872916282149,0.986811758368506,private_flux,False,0.0,-826.3706528485218,0.0,-1494.9075943212765,-1419.276695657777,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
6,5.30958827701368,-3.922024475805872,0.9963491924675143,private_flux,False,0.0,-533.4861205324004,0.0,-1302.8318288473693,-1292.3453038294122,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
0,5.10351553389521,-3.748449708623358,0.9900851960287199,private_flux,False,0.0,-563.88115946132,0.0,-1205.0443485535166,-1201.2599561377158,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
17,5.066841566166875,-3.550983928878974,0.9975625330976674,private_flux,False,0.0,-72.45406830851313,0.0,-730.8266731418506,-703.8460091344778,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
77,4.410204175112744,-3.6799280644149452,1.004549884005741,open_divertor_leg,False,0.0,-186.95461747314152,0.0,-552.8805697299401,-697.0331797246848,metric_artifact,genuine_misattributed_current,genuine_misattributed_current,ForwardFluxOperator.cell_current_moments -> ForwardSource.current_moments.partitioned_moments
